historical_outcome_id,candidate_id,batch,solv_comb_sm,salt_comb_sm,canonical_salt,C_norm_20,conc_salt_1,theor_capacity,amt_electrolyte,de_expansion_status,pool_compatible,solv_ecfp_pca_0,solv_ecfp_pca_1,solv_ecfp_pca_2,solv_ecfp_pca_3,solv_ecfp_pca_4,solv_ecfp_pca_5,solv_ecfp_pca_6,solv_ecfp_pca_7,solv_ecfp_pca_8,solv_ecfp_pca_9,mol_wt_solv
HIST_0_57_ELEC_5a480,ELEC_5a480b93a6c43b90,0,COCCOC,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.761182266,4.0,203.0,50.0,BATCH0_PHYSICAL_CELL,False,-0.845301314,-0.995150622,1.062719678,-0.357551944,-0.30871976,0.309455892,0.693324769,0.61307207,-0.780468556,-0.407587973,90.06807956
HIST_1_58_ELEC_602b1,ELEC_602b11ffb56c22d6,1,CC1(C(=O)Cl)CCCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.0,1.0,150.0,50.0,DE_EXPANDED_ACQUISITION_OUTCOME,False,0.578053638,-0.216590022,0.983575796,-0.309683071,0.916454188,-0.045955094,-1.378522327,0.302681818,0.322186762,-1.255211007,160.0654927
HIST_1_59_ELEC_5c9e3,ELEC_5c9e31f0cffe97e0,1,CC1(C)CCCC(=O)C1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,6.67e-05,1.0,150.0,50.0,DE_EXPANDED_ACQUISITION_OUTCOME,False,0.544320585,-0.787393789,0.681496222,-0.28969975,0.458623657,0.255900558,-0.920301392,0.736245307,0.100206845,-1.007396262,126.1044651
HIST_1_60_ELEC_5c9e3,ELEC_5c9e31f0cffe97e0,1,CC1(C)CCCC(=O)C1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,9.85e-05,1.0,203.0,50.0,DE_EXPANDED_ACQUISITION_OUTCOME,False,0.544320585,-0.787393789,0.681496222,-0.28969975,0.458623657,0.255900558,-0.920301392,0.736245307,0.100206845,-1.007396262,126.1044651
HIST_1_61_ELEC_8dd31,ELEC_8dd316abdb62cac1,1,CC1(C)CCCC(C)(C)N1Cl,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.0,1.0,150.0,50.0,DE_EXPANDED_ACQUISITION_OUTCOME,False,0.955032634,-1.26424607,0.621732663,-0.341995602,0.374763363,-0.332263475,-0.804000256,0.733635071,0.479057213,-1.033858357,175.1127773
HIST_1_62_ELEC_ee743,ELEC_ee7431cc1527d538,1,CC1(C)CCCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.0,1.0,150.0,50.0,DE_EXPANDED_ACQUISITION_OUTCOME,False,1.006540575,-1.325178226,0.425723471,-0.443286153,0.298218658,0.452950075,-0.998666185,0.231132782,0.447462309,-1.341981685,112.1252005
HIST_1_63_ELEC_c154d,ELEC_c154d5cab3488e6f,1,CC1(Cl)CCCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.0,1.0,150.0,50.0,DE_EXPANDED_ACQUISITION_OUTCOME,False,0.737807059,-1.41218596,0.505231795,-0.561888446,0.444366744,0.068358571,-1.010923568,0.569774902,0.533010227,-1.274821056,132.0705781
HIST_1_64_ELEC_24f9f,ELEC_24f9f8564bc3d4a3,1,CCN1CCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.0,1.0,150.0,50.0,DE_EXPANDED_ACQUISITION_OUTCOME,False,0.876501828,-1.07216772,-0.08196282,0.736596281,0.205999718,-0.486058556,0.263507963,0.37072666,0.175130808,-0.596035276,99.10479942
HIST_1_65_ELEC_02db5,ELEC_02db5b876935b11f,1,CN1C(C)(C)CCCC1(C)C,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.0,1.0,150.0,50.0,DE_EXPANDED_ACQUISITION_OUTCOME,False,1.154580859,-1.168029622,0.649902203,-0.116635784,0.382289815,-0.378234553,-0.667126386,1.046499388,0.420562708,-1.047499382,155.1673997
HIST_1_66_ELEC_8c09f,ELEC_8c09f94970422f9a,1,CN1CCCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.0,1.0,150.0,50.0,DE_EXPANDED_ACQUISITION_OUTCOME,False,1.389185153,-0.935875879,0.111029444,0.485330686,0.308117278,-0.724181092,0.398490902,0.687893646,-0.342577279,-0.959080834,99.10479942
HIST_1_67_ELEC_1a597,ELEC_1a59724c9447bb08,1,COC(=O)C1(C)CCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.000123153,1.0,203.0,50.0,DE_EXPANDED_ACQUISITION_OUTCOME,False,0.048042953,0.285709083,1.726344181,-0.579637896,0.17588432,0.241913778,-0.991960373,0.65799963,0.769220281,-1.00462969,142.0993797
HIST_1_68_ELEC_1a597,ELEC_1a59724c9447bb08,1,COC(=O)C1(C)CCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.001066667,1.0,150.0,50.0,DE_EXPANDED_ACQUISITION_OUTCOME,False,0.048042953,0.285709083,1.726344181,-0.579637896,0.17588432,0.241913778,-0.991960373,0.65799963,0.769220281,-1.00462969,142.0993797
HIST_1_69_ELEC_df134,ELEC_df134ebbbbe26e5f,1,ClC1(Cl)CCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.0,1.0,150.0,50.0,DE_EXPANDED_ACQUISITION_OUTCOME,False,0.696267099,-1.429634396,0.575233012,-0.595873418,0.518935347,-0.141127782,-0.932757128,0.46387917,0.224611797,-1.119394574,138.0003056
HIST_1_70_ELEC_1f6f0,ELEC_1f6f0430ba7a6563,1,FC1(F)CCCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.0,1.0,150.0,50.0,DE_EXPANDED_ACQUISITION_OUTCOME,False,0.680280671,-1.383992411,0.402121338,-0.76992404,0.378533758,-0.445670233,-0.916712225,0.326252158,0.432195254,-1.323779456,120.0750568
HIST_1_71_ELEC_977b2,ELEC_977b2b1fe477b8d6,1,FC1(F)CCCCC1Cl,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.0,1.0,150.0,50.0,DE_EXPANDED_ACQUISITION_OUTCOME,False,1.447439595,-1.230973013,0.492615834,-0.724458698,0.302936468,0.288999549,-0.715426706,-0.300911125,0.172510849,-1.202537415,154.0360844
HIST_1_72_ELEC_85380,ELEC_85380cbee6c84ed7,1,FC1(F)CCCCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.0,1.0,150.0,50.0,DE_EXPANDED_ACQUISITION_OUTCOME,False,0.680280671,-1.383992411,0.402121338,-0.76992404,0.378533758,-0.445670233,-0.916712225,0.326252158,0.432195254,-1.323779456,134.0907068
HIST_1_73_ELEC_47ba6,ELEC_47ba6a8238c6852b,1,O=C1CC(=O)CC2(CCCC2)C1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.0,1.0,150.0,50.0,DE_EXPANDED_ACQUISITION_OUTCOME,False,0.771487963,-1.039048207,0.946017047,-0.178268793,0.757423484,-0.206797922,-1.220774166,0.577555254,-0.129237541,-1.193202917,166.0993797
HIST_2_74_ELEC_941ca,ELEC_941ca34bfbdaf0fe,2,CCCOC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.451913333,1.0,150.0,50.0,DE_EXPANDED_ACQUISITION_OUTCOME,False,-0.937292417,-1.613543874,0.672440676,0.163122555,-0.543020152,0.617387113,0.624448731,0.415480898,-0.270824242,-0.246220365,74.07316494
HIST_2_75_ELEC_47ac2,ELEC_47ac244c0b18a35a,2,COC(C)CC(OC)OC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.0006,1.0,150.0,50.0,DE_EXPANDED_ACQUISITION_OUTCOME,False,-0.908122595,-1.333407723,0.482503447,-0.688417645,-0.753604664,-0.895699857,0.057640643,0.022552019,-0.14953952,-0.290208308,148.1099444
HIST_2_76_ELEC_bfafd,ELEC_bfafdbae5fc1461d,2,COC(CC(F)(F)F)OC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.37510596,1.0,150.0,50.0,DE_EXPANDED_ACQUISITION_OUTCOME,False,-0.874615645,-1.416076751,0.733659966,-0.734610708,0.144525357,-0.58925053,0.707574725,-0.029228618,0.073187916,-0.270348207,158.0554642
