run_id,batch_id,cell_capacity_mah,active_material_fraction_pct,additive_fraction_pct,binder_cmc_fraction_pct,binder_sbr_fraction_pct,coating_gap_um,coating_speed_m_per_min,conductive_additive_fraction_pct
AS-104,protocol-f568e70024e9,11.047569807939249,300.0,1.79319491200116,2.4873994130771,1.2007287146672,0.3,120.0,94.5186769602545
AS-46,protocol-233f4717045f,10.92025131059542,300.0,1.8397710610739713,2.509535652641631,1.1992316524551234,0.1,80.0,94.45146163382928
AS-21,protocol-48b3c67b2424,9.872701518770816,300.0,1.8200551908103855,2.513060843200148,1.2004275864846587,0.1,80.0,93.94520428937878
AS-72,protocol-7728f257bfbe,9.21568442603717,300.0,1.7931949120011608,2.4873994130771027,1.2007287146671959,0.1,120.0,94.51867696025454
AS-68,protocol-cf455f581871,8.860558852962102,300.0,1.7931949120011608,2.4873994130771027,1.2007287146671959,0.1,100.0,94.51867696025454
AS-58,protocol-e2397ab2c9a1,8.07160724441687,300.0,1.814753814582384,2.015649070809216,1.2030612419143847,0.1,80.0,94.9163120586373
AS-80,protocol-f6c236fa29a9,6.620806476241125,300.0,1.79319491200116,2.4873994130771,1.2007287146672,0.5,120.0,94.5186769602545
AS-30,protocol-aad499a15e9e,6.164584909296661,300.0,1.8053366145655745,1.9700571085952796,1.1835167496034351,0.1,80.0,93.4129921642461
AS-50,protocol-f546858c2f1a,6.118202120270675,300.0,1.7902651349511804,1.962661036835368,1.203555466558013,0.1,80.0,94.03533386621348
AS-1,protocol-66d04b9f395c,5.818119927565452,300.0,2.252749120394778,2.4926868965314997,0.7524048763354036,0.1,80.0,94.50215910673832
AS-5,protocol-e9b0ee089ccd,4.464502246876376,300.0,1.0054271732028324,2.493566066166175,2.0021868707746053,0.1,80.0,94.49881988985638
AS-12,protocol-c887fd0e762a,1.6338213833419792,140.0,1.8397710610739713,2.509535652641631,1.1992316524551234,0.1,80.0,94.45146163382928
AS-38,protocol-019b4bea9965,1.0259695568513072,70.0,1.8397710610739713,2.509535652641631,1.1992316524551234,0.1,80.0,94.45146163382928
