cell_id,protocol_id,replicate_id,protocol_type,protocol_variant,efc_lifetime,cycles_90,average_current,normalized_current_variance,maximum_discharge_current,relative_charge_fraction,rest_fraction_at_high_soc,rest_soc,peak_frequency_1,peak_frequency_2
cell_012,CC_(5%_storage)_Co5,B,CC,(5% storage),515.4792786,563.2254371,0.08595068251395235,0.1140325622300299,0.20130464638,0.0,0.0,0.09560773250954205,2.6399157066830634e-05,5.279831413366128e-05
cell_005,CC_(50%_storage)_Co10,A,CC,(50% storage),435.403301,467.268025,0.06029227289057035,0.03966724904691985,0.1006889444791088,0.0,0.0,0.5000067263899304,3.674343033942538e-05,7.348686067885076e-05
cell_006,CC_(50%_storage)_Co10,B,CC,(50% storage),431.7397127,462.94419,0.06029227289057035,0.03966724904691985,0.1006889444791088,0.0,0.0,0.5000067263899304,3.674343033942538e-05,7.348686067885076e-05
cell_021,CC_(50%_storage)_Co2,A,CC,(50% storage),513.0812771,584.7549354,0.11324061683251521,0.3867208942765926,0.5013504211191722,0.0,0.0,0.4999989858053596,0.0001432408706588,0.00021486130598824998
cell_022,CC_(50%_storage)_Co2,B,CC,(50% storage),540.8246249,623.2342468,0.11324061683251521,0.3867208942765926,0.5013504211191722,0.0,0.0,0.4999989858053596,0.0001432408706588,0.00021486130598824998
cell_013,CC_(50%_storage)_Co5,A,CC,(50% storage),483.776362,526.7805267,0.08584298156469665,0.11414057366715755,0.2011334401540858,0.0,0.0,0.4999975439123604,5.2847141456575414e-05,0.00010569428291309999
cell_014,CC_(50%_storage)_Co5,B,CC,(50% storage),482.596368,524.1846783,0.08584298156469665,0.11414057366715755,0.2011334401540858,0.0,0.0,0.4999975439123604,5.2847141456575414e-05,0.00010569428291309999
cell_055,CC_(no_storage)_Co10,A,CC,(no storage),471.1907897,509.3486892,0.09995934316621335,1.87584744182512e-08,0.1003891050599771,0.0,0.0,0.0,6.0805983997275186e-05,0.0001216119679945
cell_056,CC_(no_storage)_Co10,B,CC,(no storage),470.2181559,508.1957676,0.09995934316621335,1.87584744182512e-08,0.1003891050599771,0.0,0.0,0.0,6.0805983997275186e-05,0.0001216119679945
cell_017,CC_(no_storage)_Co2,A,CC,(no storage),642.4142075,741.6463169,0.4999590477148063,6.681018424982567e-09,0.5002059968,0.0,0.0,0.0,0.0003147128245476,0.0006294256490952
