protocol_id,protocol_type,protocol_variant,n_replicates,target_mean,target_std,efc_lifetime,cycles_90,average_current,normalized_current_variance,maximum_discharge_current,relative_charge_fraction,rest_fraction_at_high_soc,rest_soc,peak_frequency_1,peak_frequency_2
CC_(100%_storage)_Co10,CC,(100% storage),2,348.53230770000005,0.05667446709073616,348.53230770000005,371.3243661,0.0602349852692704,0.03972474395558055,0.10023712519873695,0.0,0.39740590384640645,1.0,1.8398421474370672e-05,7.359368589748269e-05
CC_(100%_storage)_Co2,CC,(100% storage),2,408.2555549,8.283662320662549,408.2555549,470.22460685,0.1127820214693967,0.38717786025111844,0.5010492103432196,0.0,0.7744156388761148,1.0,3.585257587389419e-05,7.170515174778839e-05
CC_(100%_storage)_Co5,CC,(100% storage),2,372.6781218,2.170402463719467,372.6781218,406.06792185,0.08573366014611584,0.11424893807337085,0.20080018311001424,0.0,0.5712925593839842,1.0,2.644872960111037e-05,5.2897459202220755e-05
CC_(5%_storage)_Co10,CC,(5% storage),2,457.4481083,5.3871381258823146,457.4481083,493.22017245,0.060334748632947355,0.03962482385176,0.10084687570999995,0.0,9.178353770467728e-07,0.08680192664753915,1.8352665697073234e-05,7.341066278829293e-05
CC_(5%_storage)_Co2,CC,(5% storage),2,598.26613535,1.3250795706240088,598.26613535,690.6857814499999,0.1135342388275393,0.38642715214918677,0.50093842984,0.0,0.0,0.11867467415620035,3.578393687724547e-05,7.156787375449093e-05
CC_(5%_storage)_Co5,CC,(5% storage),2,514.6031311,1.2390596771392839,514.6031311,562.6684617000001,0.08595068251395235,0.1140325622300299,0.20130464638,0.0,0.0,0.09560773250954205,2.6399157066830634e-05,5.279831413366128e-05
CC_(50%_storage)_Co10,CC,(50% storage),2,433.57150685,2.5905481304057063,433.57150685,465.1061075,0.06029227289057035,0.03966724904691985,0.1006889444791088,0.0,0.0,0.5000067263899304,3.674343033942538e-05,7.348686067885076e-05
CC_(50%_storage)_Co2,CC,(50% storage),2,526.952951,19.617509362196913,526.952951,603.9945911,0.11324061683251521,0.3867208942765926,0.5013504211191722,0.0,0.0,0.4999989858053596,0.0001432408706588,0.00021486130598824998
CC_(50%_storage)_Co5,CC,(50% storage),2,483.186365,0.8343817591594745,483.186365,525.4826025,0.08584298156469665,0.11414057366715755,0.2011334401540858,0.0,0.0,0.4999975439123604,5.2847141456575414e-05,0.00010569428291309999
CC_(no_storage)_Co10,CC,(no storage),2,470.70447279999996,0.687755955591208,470.70447279999996,508.7722284,0.09995934316621335,1.87584744182512e-08,0.1003891050599771,0.0,0.0,0.0,6.0805983997275186e-05,0.0001216119679945
CC_(no_storage)_Co2,CC,(no storage),1,642.4142075,0.0,642.4142075,741.6463169,0.4999590477148063,6.681018424982567e-09,0.5002059968,0.0,0.0,0.0,0.0003147128245476,0.0006294256490952
CC_(no_storage)_Co5,CC,(no storage),2,555.86529495,4.8332430701133235,555.86529495,612.9810427499999,0.19998325742164902,1.2259787584738617e-08,0.2013046463699999,0.0,0.0,0.0,0.00012275214837065,0.0002455042967414
Drive_City1_Co10,Drive,City1,2,544.5463473,13.873527677868449,544.5463473,566.4074337,0.08615938263229975,0.18218530557227636,1.261394595953312,0.1407380572413267,0.0025423873464246504,0.6363982767055372,5.5723500003848785e-05,0.00011144700000765
Drive_City1_Co16,Drive,City1,2,550.31567985,17.22036130040675,550.31567985,714.9694237,0.0574611694261817,0.13181234284165386,0.872937731395031,0.1409712617181496,0.00657753188873515,0.7543961783424721,5.122688386865427e-05,0.0001024537677373
