benchmark_task,policy,engine_path,num_seeds,hit_rate_step_1,hit_rate_step_3,hit_rate_step_5,top3_hit_rate_step_5,mean_simple_regret,std_simple_regret,mean_cumulative_regret,std_cumulative_regret,mean_experiments_to_best
UNCONSTRAINED_D30,AICOSCIENTIST_PROCESS_SURROGATE,AICOSCIENTIST_PROCESS_SURROGATE,10,0.4,0.8,0.8,1.0,1.9478115091637165,3.895623018327433,83.09825194742076,100.19895268406636,1.625
UNCONSTRAINED_D30,DIRECT_BOTORCH_BASELINE,DIRECT_BOTORCH_BASELINE,10,0.2,0.6,0.6,1.0,3.895623018327433,4.771144312571546,98.82362022809626,92.58937671836954,2.0
UNCONSTRAINED_D30,random,RANDOM_BASELINE,10,0.2,0.3,0.3,0.8,18.209433239365865,19.730858606078574,210.3540976904971,179.16334640826474,1.3333333333333333
UNCONSTRAINED_D30,aicointel_greedy,AICOSCIENTIST_PROCESS_SURROGATE,10,0.4,1.0,1.0,1.0,0.0,0.0,88.06238223175446,100.72217146026969,2.1
UNCONSTRAINED_D30,aicointel_ucb,AICOSCIENTIST_PROCESS_SURROGATE,10,0.4,0.7,0.7,1.0,2.921717263745575,4.46299684012445,83.19651064665057,100.16468007967961,1.5714285714285714
HIGH_LOADING_D30,AICOSCIENTIST_PROCESS_SURROGATE,AICOSCIENTIST_PROCESS_SURROGATE,10,0.7,1.0,1.0,1.0,0.0,0.0,39.39320051670728,70.16280145337552,1.5
HIGH_LOADING_D30,DIRECT_BOTORCH_BASELINE,DIRECT_BOTORCH_BASELINE,10,0.6,0.9,1.0,1.0,0.0,0.0,55.15315841758745,78.95675027526583,1.7
HIGH_LOADING_D30,random,RANDOM_BASELINE,10,0.2,0.3,0.6,1.0,15.259156381708317,18.6885735202595,209.86453902272706,142.2867369280323,3.1666666666666665
HIGH_LOADING_D30,aicointel_greedy,AICOSCIENTIST_PROCESS_SURROGATE,10,0.4,0.6,1.0,1.0,0.0,0.0,142.3136456851208,120.6522632672576,2.6
HIGH_LOADING_D30,aicointel_ucb,AICOSCIENTIST_PROCESS_SURROGATE,10,0.6,1.0,1.0,1.0,0.0,0.0,34.31338675681431,55.40164080442426,1.5
