policy,budget,hit_rate,mean_simple_regret,std_simple_regret,mean_cumulative_regret,std_cumulative_regret
AICOSCIENTIST_PROCESS_ENGINE,1,0.0,83.58586337340361,45.00741533767374,83.58586337340361,45.00741533767374
AICOSCIENTIST_PROCESS_ENGINE,2,0.1,56.35232333393835,45.83580757183419,139.93818670734194,79.22154463558762
AICOSCIENTIST_PROCESS_ENGINE,3,0.4,32.459834313833404,33.36469488987149,172.39802102117537,99.01980255857433
AICOSCIENTIST_PROCESS_ENGINE,4,0.5,27.688564240153926,34.24232670153575,200.08658526132928,126.09021855805885
AICOSCIENTIST_PROCESS_ENGINE,5,0.5,20.076410825629228,28.432587986507414,220.1629960869585,147.39385660861473
AICOSCIENTIST_PROCESS_ENGINE,6,0.5,20.076410825629228,28.432587986507414,240.23940691258773,170.78635435866556
AICOSCIENTIST_PROCESS_ENGINE,7,0.5,17.09907736890391,26.900330649989456,257.3384842814916,194.01483647899
AICOSCIENTIST_PROCESS_ENGINE,8,0.5,13.30171304980629,24.917973611738972,270.64019733129794,212.66319134592143
AICOSCIENTIST_PROCESS_ENGINE,9,0.5,4.869528772909291,4.86952877290929,275.50972610420723,215.7138726467754
AICOSCIENTIST_PROCESS_ENGINE,10,0.6,3.895623018327433,4.771144312571546,279.40534912253463,218.81850552815436
DIRECT_BOTORCH_BASELINE,1,0.0,83.58586337340361,45.00741533767374,83.58586337340361,45.00741533767374
DIRECT_BOTORCH_BASELINE,2,0.1,56.35232333393835,45.83580757183419,139.93818670734194,79.22154463558762
DIRECT_BOTORCH_BASELINE,3,0.4,32.459834313833404,33.36469488987149,172.39802102117537,99.01980255857433
DIRECT_BOTORCH_BASELINE,4,0.5,27.688564240153926,34.24232670153575,200.08658526132928,126.09021855805885
DIRECT_BOTORCH_BASELINE,5,0.5,20.076410825629228,28.432587986507414,220.1629960869585,147.39385660861473
DIRECT_BOTORCH_BASELINE,6,0.5,20.076410825629228,28.432587986507414,240.23940691258773,170.78635435866556
DIRECT_BOTORCH_BASELINE,7,0.5,17.09907736890391,26.900330649989456,257.3384842814916,194.01483647899
DIRECT_BOTORCH_BASELINE,8,0.5,13.30171304980629,24.917973611738972,270.64019733129794,212.66319134592143
DIRECT_BOTORCH_BASELINE,9,0.5,4.869528772909291,4.86952877290929,275.50972610420723,215.7138726467754
DIRECT_BOTORCH_BASELINE,10,0.6,3.895623018327433,4.771144312571546,279.40534912253463,218.81850552815436
random,1,0.1,83.28809396110015,55.608053814418994,83.28809396110015,55.608053814418994
random,2,0.1,73.85807226553595,58.10705110448716,157.1461662266361,111.41723446764294
random,3,0.1,70.76852992411537,55.135679419727914,227.91469615075147,165.69618458965525
random,4,0.1,69.88955121731306,53.9686879363119,297.8042473680645,219.16308539724307
random,5,0.1,57.093750349418066,44.24365430486634,354.89799771748255,258.00234405502084
random,6,0.2,56.119844594836195,45.368220084917915,411.01784231231875,299.5165480862552
random,7,0.3,34.97029666925102,39.09910991148792,445.98813898156976,328.45557001019137
random,8,0.3,34.97029666925102,39.09910991148792,480.9584356508208,359.32358836524304
random,9,0.3,34.97029666925102,39.09910991148792,515.9287323200717,391.6647822211882
random,10,0.3,31.15550757382394,35.657291728752305,547.0842398938958,420.49978726989286
aicointel_greedy,1,0.0,64.12582814135939,31.233915324283462,64.12582814135939,31.233915324283462
aicointel_greedy,2,0.0,49.24925733763053,20.648144597832864,113.37508547898994,46.99869898572739
aicointel_greedy,3,0.4,33.96154136201024,31.71771530690506,147.33662684100014,74.6411925561102
aicointel_greedy,4,0.8,14.87646106729233,32.0544838898893,162.2130879082925,101.97766297202337
aicointel_greedy,5,0.8,5.745175828261336,14.28733915221207,167.95826373655382,109.72581876456577
aicointel_greedy,6,0.9,0.9739057545818582,2.9217172637455744,168.93216949113565,111.9260060813429
aicointel_greedy,7,0.9,0.9739057545818582,2.9217172637455744,169.90607524571752,114.15857057017585
aicointel_greedy,8,1.0,0.0,0.0,169.90607524571752,114.15857057017585
aicointel_greedy,9,1.0,0.0,0.0,169.90607524571752,114.15857057017585
aicointel_greedy,10,1.0,0.0,0.0,169.90607524571752,114.15857057017585
aicointel_ucb,1,0.0,83.58586337340361,45.00741533767374,83.58586337340361,45.00741533767374
aicointel_ucb,2,0.1,56.35232333393835,45.83580757183419,139.93818670734194,79.22154463558762
aicointel_ucb,3,0.5,27.688564240153926,34.24232670153575,167.62675094749588,101.4348086789904
aicointel_ucb,4,0.5,23.873775144726846,29.3203418902435,191.5005260922227,121.29569977534504
aicointel_ucb,5,0.6,15.30514075194975,27.378400549576334,206.80566684417244,134.92637425116138
aicointel_ucb,6,0.6,15.30514075194975,27.378400549576334,222.11080759612224,152.30482522377406
aicointel_ucb,7,0.6,15.30514075194975,27.378400549576334,237.41594834807202,172.3007450292376
aicointel_ucb,8,0.6,15.30514075194975,27.378400549576334,252.72108910002171,194.1068966371943
aicointel_ucb,9,0.6,7.692987337425052,14.032921989034973,260.4140764374468,200.0102174540592
aicointel_ucb,10,0.7,6.719081582843193,14.194152747492335,267.13315802029,206.62871466346292
