policy,num_seeds,hit_rate_step_1,hit_rate_step_3,hit_rate_step_5,hit_rate_step_10,top3_hit_rate_step_5,mean_simple_regret,std_simple_regret,mean_cumulative_regret,std_cumulative_regret,mean_experiments_to_best
AICOSCIENTIST_PROCESS_ENGINE,10,0.0,0.4,0.5,0.6,0.7,3.895623018327433,4.771144312571546,279.40534912253463,218.81850552815436,4.166666666666667
DIRECT_BOTORCH_BASELINE,10,0.0,0.4,0.5,0.6,0.7,3.895623018327433,4.771144312571546,279.40534912253463,218.81850552815436,4.166666666666667
random,10,0.1,0.1,0.1,0.3,0.3,31.15550757382394,35.657291728752305,547.0842398938958,420.49978726989286,4.666666666666667
aicointel_greedy,10,0.0,0.4,0.8,1.0,0.9,0.0,0.0,169.90607524571752,114.15857057017585,4.2
aicointel_ucb,10,0.0,0.5,0.6,0.7,0.8,6.719081582843193,14.194152747492335,267.13315802029,206.62871466346292,4.142857142857143
