Area,Au [at.%],Ir [at.%],Rh [at.%]
227,73.16,15.99,10.85
228,72.72,15.7,11.58
229,71.8,15.34,12.86
230,70.7,15.27,14.03
231,69.57,15.24,15.19
232,68.05,14.94,17.01
233,66.84,14.9,18.26
234,65.66,14.38,19.96
235,63.59,14.18,22.23
236,62.07,14.07,23.86
237,60.27,13.63,26.1
238,59.1,12.69,28.21
239,56.86,12.99,30.15
240,54.95,12.25,32.8
241,52.08,12.12,35.8
242,79.36,13.92,6.72
243,78.69,13.95,7.36
244,78.1,14.02,7.88
245,77.54,13.87,8.59
246,76.29,14.06,9.65
247,75.16,14.21,10.63
248,74.97,13.46,11.57
249,73.73,13.64,12.63
250,72.98,13.2,13.82
251,71.27,13.66,15.07
252,70.33,13.06,16.61
253,68.64,12.99,18.37
254,66.97,12.86,20.17
255,65.22,12.54,22.24
256,64.43,12.02,23.55
257,62.07,11.99,25.94
258,60.32,11.97,27.71
259,57.68,12.0,30.32
260,55.96,11.09,32.95
261,81.42,12.01,6.57
262,80.36,12.4,7.24
263,79.62,12.25,8.13
264,79.24,12.0,8.76
265,78.35,12.14,9.51
266,77.38,12.1,10.52
267,76.24,12.14,11.62
268,75.36,12.07,12.57
269,74.28,12.1,13.62
270,73.13,11.9,14.97
271,71.81,11.92,16.27
272,70.35,11.47,18.18
273,68.99,11.13,19.88
274,67.22,11.24,21.54
275,65.53,11.13,23.34
276,63.24,11.18,25.58
277,61.22,10.72,28.06
278,58.41,10.65,30.94
279,57.2,10.46,32.34
280,82.28,10.76,6.96
281,81.66,10.65,7.69
282,80.87,10.76,8.37
283,80.44,10.6,8.96
284,79.53,10.82,9.65
285,78.16,10.82,11.02
286,77.3,10.81,11.89
287,76.18,10.54,13.28
288,74.92,10.42,14.66
289,73.31,10.51,16.18
290,71.63,10.47,17.9
291,70.16,10.17,19.67
292,68.35,10.2,21.45
293,66.54,10.09,23.37
294,64.82,9.32,25.86
295,62.84,9.74,27.42
296,60.86,8.84,30.3
297,82.92,9.6,7.48
298,82.18,9.54,8.28
299,81.86,9.23,8.91
300,80.89,9.51,9.6
301,80.3,9.21,10.49
302,78.85,9.55,11.6
303,76.98,9.61,13.41
304,76.13,9.34,14.53
305,74.7,9.38,15.92
306,73.44,8.98,17.58
307,72.01,9.01,18.98
308,69.76,8.66,21.58
309,67.86,8.85,23.29
310,66.33,8.69,24.98
311,63.8,8.6,27.6
312,83.88,8.14,7.98
313,83.11,8.21,8.68
314,82.29,8.26,9.45
315,80.76,8.71,10.53
316,79.52,8.59,11.89
317,78.71,8.34,12.95
318,76.96,8.45,14.59
319,76.26,8.13,15.61
320,75.29,7.89,16.82
321,73.37,7.89,18.74
322,71.41,8.01,20.58
323,68.94,7.88,23.18
324,67.94,7.49,24.57
325,83.82,7.89,8.29
326,83.19,7.33,9.48
327,82.12,7.57,10.31
328,81.35,7.34,11.31
329,80.38,7.17,12.45
330,78.77,7.33,13.9
331,77.74,7.04,15.22
332,75.93,7.34,16.73
333,74.34,6.95,18.71
334,72.62,6.76,20.62
335,70.84,6.74,22.42
336,83.36,6.88,9.76
337,82.97,6.07,10.96
338,81.53,6.33,12.14
339,80.46,6.38,13.16
340,78.66,6.4,14.94
341,76.97,6.26,16.77
342,75.29,6.12,18.59
