Area,Au [at.%],Ir [at.%],Rh [at.%]
227,33.78,24.94,41.28
228,33.08,23.62,43.3
229,30.74,22.87,46.39
230,30.1,21.66,48.24
231,28.87,19.54,51.59
232,27.06,19.05,53.89
233,25.2,18.09,56.71
234,23.31,16.82,59.87
235,22.49,15.03,62.48
236,20.29,13.98,65.73
237,18.7,12.96,68.34
238,17.53,11.95,70.52
239,15.81,11.0,73.19
240,14.74,10.04,75.22
241,13.42,9.49,77.09
242,42.77,26.86,30.38
243,41.53,26.13,32.34
244,40.35,25.32,34.33
245,39.08,24.77,36.16
246,37.87,23.52,38.62
247,35.47,23.02,41.51
248,34.62,21.74,43.64
249,33.08,20.49,46.43
250,31.98,19.59,48.43
251,30.05,18.41,51.54
252,28.12,17.07,54.81
253,26.03,16.3,57.67
254,24.79,15.22,59.99
255,23.06,14.35,62.59
256,21.16,13.09,65.75
257,19.52,11.86,68.62
258,18.01,10.77,71.22
259,16.35,9.88,73.77
260,15.35,9.29,75.36
261,46.08,24.09,29.82
262,43.82,24.0,32.18
263,42.97,22.71,34.33
264,40.91,22.53,36.56
265,39.31,21.3,39.39
266,38.03,20.14,41.83
267,36.67,19.71,43.62
268,34.35,18.7,46.94
269,33.33,17.49,49.17
270,31.22,16.6,52.18
271,29.96,15.28,54.76
272,27.73,14.84,57.43
273,25.54,13.74,60.72
274,24.04,12.68,63.28
275,22.47,11.92,65.61
276,20.32,11.06,68.62
277,19.42,9.9,70.68
278,16.81,8.94,74.25
279,15.46,8.46,76.08
280,46.36,21.46,32.18
281,44.76,21.22,34.02
282,43.16,20.12,36.72
283,42.33,19.36,38.31
284,39.46,19.0,41.54
285,38.23,18.12,43.64
286,36.23,16.76,47.01
287,35.12,16.14,48.74
288,32.6,15.29,52.11
289,30.26,14.23,55.51
290,28.58,12.79,58.63
291,26.81,12.42,60.77
292,25.37,11.69,62.94
293,23.75,10.23,66.02
294,21.58,10.1,68.32
295,19.48,9.12,71.4
296,18.05,8.39,73.56
297,47.42,18.45,34.13
298,45.05,18.25,36.71
299,43.51,17.95,38.54
300,42.02,16.73,41.25
301,40.05,16.01,43.95
302,37.59,15.5,46.91
303,35.73,14.82,49.45
304,34.37,14.01,51.62
305,32.16,12.72,55.12
306,30.33,12.18,57.49
307,28.25,11.47,60.28
308,26.02,10.47,63.51
309,24.25,9.54,66.21
310,22.41,9.03,68.56
311,20.33,8.44,71.23
312,47.55,16.22,36.22
313,45.41,16.15,38.44
314,44.02,15.34,40.64
315,41.46,15.01,43.53
316,39.46,14.12,46.43
317,37.54,13.2,49.26
318,35.45,12.19,52.36
319,33.82,11.7,54.48
320,31.16,10.89,57.95
321,29.59,10.34,60.07
322,27.44,9.7,62.86
323,25.1,9.15,65.75
324,23.06,8.0,68.94
325,47.64,14.63,37.73
326,45.76,13.61,40.63
327,43.08,13.61,43.31
328,41.11,12.51,46.38
329,39.11,12.19,48.69
330,36.88,11.52,51.6
331,34.77,10.78,54.45
332,32.38,9.76,57.86
333,30.66,9.6,59.74
334,27.83,8.82,63.35
335,25.85,8.32,65.83
336,44.81,12.48,42.71
337,42.35,11.64,46.01
338,40.81,11.01,48.18
339,38.38,10.52,51.1
340,36.43,10.2,53.37
341,33.67,9.2,57.13
342,31.4,8.5,60.1
