Area,Au [at.%],Ir [at.%],Rh [at.%]
227,25.58,62.95,11.47
228,26.06,61.61,12.33
229,25.37,60.53,14.1
230,25.24,59.61,15.15
231,25.34,58.43,16.23
232,25.02,57.11,17.87
233,24.76,55.25,19.99
234,23.59,54.46,21.95
235,23.75,52.73,23.52
236,23.78,51.3,24.92
237,22.88,48.93,28.19
238,22.43,47.73,29.84
239,21.32,45.95,32.73
240,21.19,44.89,33.92
241,19.61,42.8,37.58
242,29.86,62.0,8.14
243,29.59,61.97,8.44
244,29.27,61.61,9.12
245,29.53,60.63,9.84
246,28.84,60.12,11.04
247,28.56,59.49,11.95
248,28.42,58.12,13.46
249,28.21,57.59,14.2
250,28.6,56.1,15.3
251,27.62,54.95,17.43
252,27.51,53.79,18.7
253,27.12,52.65,20.23
254,26.82,50.8,22.38
255,25.71,49.58,24.72
256,25.49,48.37,26.14
257,25.0,46.44,28.56
258,24.15,45.17,30.68
259,22.55,43.48,33.97
260,22.07,41.69,36.23
261,32.76,59.17,8.07
262,33.18,58.08,8.74
263,32.35,58.02,9.63
264,33.04,56.6,10.36
265,31.75,57.04,11.21
266,31.74,55.96,12.3
267,31.27,54.97,13.76
268,31.07,54.14,14.79
269,30.66,53.08,16.26
270,30.21,52.21,17.58
271,29.27,51.13,19.6
272,29.55,49.13,21.33
273,28.63,48.04,23.33
274,28.55,46.69,24.76
275,27.87,44.99,27.14
276,26.8,43.74,29.46
277,25.99,42.54,31.47
278,24.56,40.93,34.52
279,23.42,39.55,37.04
280,36.88,54.38,8.74
281,35.42,54.54,10.04
282,36.16,52.97,10.87
283,35.44,53.32,11.24
284,35.07,52.18,12.75
285,34.71,51.34,13.95
286,34.03,50.43,15.54
287,33.13,50.11,16.76
288,32.83,48.72,18.45
289,32.06,48.12,19.82
290,32.13,46.08,21.79
291,31.36,45.46,23.19
292,30.29,43.96,25.75
293,29.49,42.65,27.86
294,28.36,41.39,30.25
295,28.07,39.57,32.36
296,26.41,38.08,35.51
297,39.46,50.39,10.15
298,38.68,50.04,11.28
299,38.32,49.66,12.02
300,37.69,49.25,13.05
301,37.32,48.12,14.57
302,37.02,47.39,15.58
303,36.12,46.92,16.96
304,36.04,45.5,18.46
305,35.15,44.52,20.33
306,34.68,43.29,22.03
307,33.79,42.22,23.99
308,32.28,41.47,26.25
309,31.3,40.37,28.33
310,31.43,38.41,30.16
311,29.75,37.23,33.01
312,42.11,46.6,11.29
313,41.17,46.59,12.24
314,40.84,45.91,13.25
315,40.54,45.2,14.26
316,39.2,44.56,16.24
317,39.25,43.18,17.57
318,39.14,42.25,18.61
319,37.96,41.59,20.45
320,37.5,40.31,22.19
321,36.17,39.51,24.31
322,35.24,37.99,26.77
323,34.08,37.59,28.32
324,33.07,36.09,30.84
325,44.48,43.11,12.41
326,44.28,42.56,13.17
327,43.67,41.59,14.74
328,42.58,41.05,16.37
329,41.67,41.07,17.26
330,41.82,38.97,19.21
331,40.52,39.02,20.46
