benchmark_seed,strategy,step,query_id,candidate_id,C1,C2,C3,C4,simulator_seed,simulated_lifetime,best_observed_lifetime,is_off_grid,min_distance_to_grid,is_new_vs_observed,min_distance_to_observed,duplicate_rejections_at_step,acquisition_method,acquisition_score,exploration_score,exploitation_score,controller_reason,should_stop,stop_reason,trust_region_center,trust_region_length,trust_region_radius,success_counter,failure_counter,expanded,contracted,restarted,global_escape,posterior_candidate_mean,posterior_candidate_std,posterior_incumbent_mean,posterior_incumbent_std,success_probability,restart_reason,restart_candidate_id,reference_true_lifetime,best_reference_true,continuous_simple_regret,continuous_simple_regret_valid,gap_to_discrete_grid_optimum,improvement_over_discrete_grid,beats_discrete_grid,budget
0,random,13,Q_S00_random_ST13,ATTIA_CONT_07b482677239,7.454787819622009,4.42728371863803,4.534750675172811,3.9556972384598623,751556562.0,644.0,1078.0,True,0.12364182037151582,True,0.32320504236877695,0,random,0.0,,,,False,,,,,0,0,False,False,False,False,750.985014970097,207.8806266373431,,,,,,826.0,998.0,129.0,True,81.0,0.0,False,30
0,random,14,Q_S00_random_ST14,ATTIA_CONT_a4401cdc6225,6.231378938132396,6.957065793878723,5.170831732943935,2.9786375171084396,238645448.0,676.0,1078.0,True,0.05601300037429511,True,0.1942063734723215,0,random,0.0,,,,False,,,,,0,0,False,False,False,False,764.6742595349483,193.87066554457468,,,,,,629.0,998.0,129.0,True,81.0,0.0,False,30
0,random,15,Q_S00_random_ST15,ATTIA_CONT_69e7623db589,7.9284597034996445,5.559143334794056,4.800970871433581,3.1344975710356877,600361063.0,939.0,1078.0,True,0.0202236530767041,True,0.3348628688354368,0,random,0.0,,,,False,,,,,0,0,False,False,False,False,642.8685571081917,197.5774061094854,,,,,,643.0,998.0,129.0,True,81.0,0.0,False,30
0,random,16,Q_S00_random_ST16,ATTIA_CONT_01ff06e912ee,6.5580915949549405,5.111767078614441,5.587750785757402,3.265199529715414,386521187.0,630.0,1078.0,True,0.10391290445092928,True,0.3557942501547712,0,random,0.0,,,,False,,,,,0,0,False,False,False,False,754.9463236382438,199.6948204639236,,,,,,676.0,998.0,129.0,True,81.0,0.0,False,30
0,random,17,Q_S00_random_ST17,ATTIA_CONT_d77a45984537,7.70349849791851,5.695524761245259,5.111084409553152,3.009396475731438,567665934.0,719.0,1078.0,True,0.08547994912151811,True,0.1800889174930624,0,random,0.0,,,,False,,,,,0,0,False,False,False,False,762.4543737837549,193.74998706677053,,,,,,626.0,998.0,129.0,True,81.0,0.0,False,30
0,random,18,Q_S00_random_ST18,ATTIA_CONT_46b819ff4cb3,5.162300160872651,5.467415572342908,4.498362169796077,4.265914419177308,1990348420.0,826.0,1078.0,True,0.06334694150462399,True,0.1343508212067184,0,random,0.0,,,,False,,,,,0,0,False,False,False,False,860.7916372875623,176.95651616266102,,,,,,934.0,998.0,129.0,True,81.0,0.0,False,30
0,random,19,Q_S00_random_ST19,ATTIA_CONT_c761a46a436c,4.112885478166637,6.163749146126573,4.7540867994773635,4.595360771263302,1052264312.0,976.0,1078.0,True,0.05920098369434717,True,0.20943455463557234,0,random,0.0,,,,False,,,,,0,0,False,False,False,False,749.4224426345988,187.30065628552387,,,,,,970.0,998.0,129.0,True,81.0,0.0,False,30
0,random,20,Q_S00_random_ST20,ATTIA_CONT_80fb6d4c243e,4.454311205317347,6.485065384678739,4.1956911833490915,4.623389577446727,1639728123.0,806.0,1078.0,True,0.17590211548402518,True,0.19581742357189819,0,random,0.0,,,,False,,,,,0,0,False,False,False,False,758.2453006758705,188.97049826831378,,,,,,879.0,998.0,129.0,True,81.0,0.0,False,30
0,random,21,Q_S00_random_ST21,ATTIA_CONT_aa53e8215ed4,5.526944946454128,5.789952259872351,4.149463820103455,4.189471999998283,1100334050.0,738.0,1078.0,True,0.09477236006755352,True,0.10878155192412543,0,random,0.0,,,,False,,,,,0,0,False,False,False,False,846.408735933195,168.27934579601248,,,,,,859.0,998.0,129.0,True,81.0,0.0,False,30
0,random,22,Q_S00_random_ST22,ATTIA_CONT_e47f84fd4787,7.876732991242598,5.962263091061999,3.8584064485951974,3.5780576706587737,1862370965.0,690.0,1078.0,True,0.076943007080092,True,0.17546000347104057,0,random,0.0,,,,False,,,,,0,0,False,False,False,False,751.8599292958241,182.70909044724803,,,,,,651.0,998.0,129.0,True,81.0,0.0,False,30
0,random,23,Q_S00_random_ST23,ATTIA_CONT_201bc349dfcd,6.801230059434342,6.281536547209541,5.425128471319432,2.9173489638955017,310693453.0,606.0,1078.0,True,0.12861741040958186,True,0.3022035403090205,0,random,0.0,,,,False,,,,,0,0,False,False,False,False,753.5517493920597,180.9254762740482,,,,,,625.0,998.0,129.0,True,81.0,0.0,False,30
0,random,24,Q_S00_random_ST24,ATTIA_CONT_bc0d3e315473,7.898230471423428,4.9804379024591645,4.748253631948562,3.3860038389454807,12624869.0,548.0,1078.0,True,0.06340989215652745,True,0.19707233568569585,0,random,0.0,,,,False,,,,,0,0,False,False,False,False,757.8223288999221,177.68522478831966,,,,,,685.0,998.0,129.0,True,81.0,0.0,False,30
0,random,25,Q_S00_random_ST25,ATTIA_CONT_605608678601,7.8404167407312695,5.108251332648777,5.381994338186949,3.084300185217079,1442121348.0,503.0,1078.0,True,0.10160760046112252,True,0.24600687784682254,0,random,0.0,,,,False,,,,,0,0,False,False,False,False,722.6693808979543,180.0125828735896,,,,,,641.0,998.0,129.0,True,81.0,0.0,False,30
0,greedy,0,,,,,,,,,1078.0,False,0.0,False,0.0,0,,,,,,False,,,,,0,0,False,False,False,False,,,,,,,,,961.0,166.0,True,118.0,0.0,False,30
0,greedy,1,Q_S00_greedy_ST01,ATTIA_CONT_64e2bc65a0d6,7.0838,3.7934,5.2171,4.221670800755561,901936710.0,593.0,1078.0,True,0.06059235855260596,True,0.11030232595102926,0,greedy,1084.9719813957533,,,,False,,,,,0,0,False,False,False,False,1084.9719827170863,30.752576047110356,,,,,,794.0,961.0,166.0,True,118.0,0.0,False,30
0,greedy,2,Q_S00_greedy_ST02,ATTIA_CONT_1d6dc4a8a1e9,7.1638,5.8806,5.1676,3.028664721009702,1190840688.0,772.0,1078.0,True,0.0536801543371367,True,0.586530234355617,0,greedy,742.5,,,,False,,,,,0,0,False,False,False,False,742.5,158.20749435917782,,,,,,618.0,961.0,166.0,True,118.0,0.0,False,30
0,greedy,3,Q_S00_greedy_ST03,ATTIA_CONT_a0e0b8251d9f,4.5211,6.4665,4.1392,4.631506154405581,149565427.0,1096.0,1096.0,True,0.1663954483971555,True,0.38534259526471865,0,greedy,746.7142857142857,,,,False,,,,,0,0,False,False,False,False,746.7142857142857,146.8349065123708,,,,,,948.0,961.0,166.0,True,118.0,0.0,False,30
0,greedy,4,Q_S00_greedy_ST04,ATTIA_CONT_9a22be85c3f3,6.3565,5.4976,4.4346,3.7227723336202994,1556287194.0,418.0,1096.0,True,0.08815353083723051,True,0.3009399431126137,0,greedy,790.375,,,,False,,,,,0,0,False,False,False,False,790.375,179.4693127945617,,,,,,800.0,961.0,166.0,True,118.0,0.0,False,30
0,greedy,5,Q_S00_greedy_ST05,ATTIA_CONT_8f4c6c8e92a4,4.501335912179492,6.4431194905417275,4.119886368762344,4.6893845855747305,642699939.0,1072.0,1096.0,True,0.1587020861361043,True,0.021182283649543766,1,greedy,749.9161101186353,,,,False,,,,,0,0,False,False,False,False,749.9161101186353,205.73117989209467,,,,,,957.0,961.0,166.0,True,118.0,0.0,False,30
0,greedy,6,Q_S00_greedy_ST06,ATTIA_CONT_886535cc60a4,4.5178,6.4629,4.1363,4.640470328760647,1001883475.0,856.0,1096.0,True,0.16520870820508685,True,0.003197679312540443,0,greedy,1096.9086070875305,,,,False,,,,,0,0,False,False,False,False,1096.909224321408,7.398229077848855,,,,,,949.0,961.0,166.0,True,118.0,0.0,False,30
0,greedy,7,Q_S00_greedy_ST07,ATTIA_CONT_f6eb5f79d678,4.505,6.4741,4.1194,4.669791402209985,1000036521.0,762.0,1096.0,True,0.16584035899234045,True,0.011673728975976471,0,greedy,895.8532811352827,,,,False,,,,,0,0,False,False,False,False,895.8533889732369,192.72366859972047,,,,,,949.0,961.0,166.0,True,118.0,0.0,False,30
0,greedy,8,Q_S00_greedy_ST08,ATTIA_CONT_f2351f223cec,4.4949,6.4747,4.122,4.677028194061504,1179731652.0,823.0,1096.0,True,0.16739847383950657,True,0.0043606040515380175,0,greedy,851.1223929131446,,,,False,,,,,0,0,False,False,False,False,851.1223245690173,192.3555693030611,,,,,,883.0,961.0,166.0,True,118.0,0.0,False,30
0,greedy,9,Q_S00_greedy_ST09,ATTIA_CONT_e91714f355f2,4.4916,6.4784,4.1164,4.685910377648909,879226495.0,907.0,1096.0,True,0.16539590758053216,True,0.0054181116567724305,0,greedy,850.0928824988653,,,,False,,,,,0,0,False,False,False,False,850.0928683473871,184.18787329063667,,,,,,883.0,961.0,166.0,True,118.0,0.0,False,30
0,greedy,10,Q_S00_greedy_ST10,ATTIA_CONT_d3dc115e4d7f,4.4739,6.4949,4.1063,4.709882821781334,399054826.0,794.0,1096.0,True,0.1586717802314934,True,0.012766237324014338,0,greedy,868.5162337359152,,,,False,,,,,0,0,False,False,False,False,868.5162370975002,174.74114519408027,,,,,,881.0,961.0,166.0,True,118.0,0.0,False,30
0,greedy,11,Q_S00_greedy_ST11,ATTIA_CONT_f49f9108a16b,4.4754,6.4934,4.1077,4.707170319587877,3884276.0,1164.0,1164.0,True,0.15935644781017713,True,0.001480319464737943,0,greedy,859.290054796316,,,,False,,,,,0,0,False,False,False,False,859.2900648827122,169.9020327064411,,,,,,882.0,961.0,166.0,True,118.0,0.0,False,30
0,greedy,12,Q_S00_greedy_ST12,ATTIA_CONT_5072187943d8,4.417,6.546,4.075,4.789925707029506,1376670563.0,876.0,1164.0,True,0.13874898735550756,True,0.039694277037027256,0,greedy,897.6146709870962,,,,False,,,,,0,0,False,False,False,False,897.6146738167254,180.40907611184298,,,,,,877.0,961.0,166.0,True,118.0,0.0,False,30
