benchmark_seed,step,candidate_id,C1,C2,C3,C4,predicted_mean,predicted_std,acquisition_method,acquisition_score,exploration_score,exploitation_score,controller_reason,simulated_lifetime,best_observed_lifetime,should_stop,stop_reason
17,18,ATTIA_CONT_fac5aae8886c,4.5883,5.393,5.5587,3.998976906474095,841.8181818181819,191.7819868560285,gp_ucb,1146.2626477159276,122.74047158785825,2.774509405514129,Stagnation detected (11 steps without improvement) with high epistemic variance (191.8); boosting exploration (beta=1.59).,705.0,1186.0,False,"Active search warranted (max EI: 2.77 cycles, max std: 191.78)."
17,19,ATTIA_CONT_e84241a2bcfd,6.5428,5.7088,4.3365,3.6400076911682175,835.8695652173913,189.63037329904492,gp_ucb,1114.5681578070846,117.57083144540785,2.4063888740294495,Stagnation detected (12 steps without improvement) with high epistemic variance (189.6); boosting exploration (beta=1.47).,627.0,1186.0,False,"Active search warranted (max EI: 2.41 cycles, max std: 189.63)."
17,20,ATTIA_CONT_c07d86257b43,6.2308448752242045,5.178004046310043,3.679280913606009,4.809435560686663,860.291013348491,186.97385225966178,expected_improvement,3.0840860125344776,115.2594715084879,3.0840860125344776,Balancing predicted mean (861.5) and posterior epistemic uncertainty (192.1).,844.0,1186.0,False,"Active search warranted (max EI: 3.08 cycles, max std: 192.10)."
17,21,ATTIA_CONT_4016403532ea,7.99152765015344,3.6029144316225348,4.520869367522048,4.774378662186237,858.6568676869855,184.32217962826923,expected_improvement,2.794620532135058,109.94660574330949,2.794620532135058,Balancing predicted mean (866.1) and posterior epistemic uncertainty (189.6).,858.0,1186.0,False,"Active search warranted (max EI: 2.79 cycles, max std: 189.56)."
17,22,ATTIA_CONT_1332929d7419,7.509576033820748,4.571751697750649,3.666608821658939,4.79147709216841,869.6295705978118,175.14901127550812,greedy,869.6295705978118,104.77874108545673,2.4960178885597504,Late budget phase (12% remaining); switching to pure exploitation of posterior mean.,748.0,1186.0,False,"Active search warranted (max EI: 2.50 cycles, max std: 187.10)."
17,23,ATTIA_CONT_2b6b6cadfc52,5.1183,6.3867,3.6611,4.802183029765417,839.96243313801,179.67630835794367,greedy,839.9624836282619,97.38776646953659,1.8550542068567424,Late budget phase (8% remaining); switching to pure exploitation of posterior mean.,793.0,1186.0,False,"Active search warranted (max EI: 1.86 cycles, max std: 180.35)."
17,24,ATTIA_CONT_f51bab26483e,7.922394357336865,4.270381927524908,3.7821546635024403,4.795283993150151,830.727397016969,176.90630418717538,greedy,830.727397016969,92.06396607319036,1.4689441734053847,Late budget phase (4% remaining); switching to pure exploitation of posterior mean.,778.0,1186.0,False,"Active search warranted (max EI: 1.47 cycles, max std: 177.05)."
17,25,ATTIA_CONT_2e665291d2ce,4.7449,5.239,4.7195,4.549222915150721,823.2068965517242,174.14943326450327,greedy,823.2068965517242,87.07471663225164,1.1795335748857259,Late budget phase (0% remaining); switching to pure exploitation of posterior mean.,1164.0,1186.0,False,"Active search warranted (max EI: 1.18 cycles, max std: 174.15)."
18,1,ATTIA_CONT_97f357a5537e,5.8495021483048255,3.980058036685998,5.02175920649397,4.717145942810233,793.2113890731146,265.4846882627016,gp_ucb,1486.8668778896235,280.9087084249949,100.29034703396067,Early exploration phase (step 1/25); prioritizing epistemic coverage (beta=2.61).,1004.0,1004.0,False,"Active search warranted (max EI: 75.33 cycles, max std: 286.64)."
18,2,ATTIA_CONT_9203603087d6,3.6897023252966967,6.222604003849058,5.597054092928561,4.485533567660002,816.8861485256281,298.9038141923974,gp_ucb,1390.283082342551,293.4134471895527,64.88648091620729,Early exploration phase (step 2/25); prioritizing epistemic coverage (beta=1.92).,1018.0,1018.0,False,"Active search warranted (max EI: 54.74 cycles, max std: 305.64)."
