benchmark_seed,strategy,step,query_id,candidate_id,C1,C2,C3,C4,trust_region_length,success_counter,failure_counter,expanded,contracted,restarted,global_escape,best_observed_lifetime,simulated_lifetime
1,turbo_nei,1,Q_S01_turbo_nei_ST01,ATTIA_CONT_c90ee2d5d317,6.410688459910716,6.0418372817774495,4.1555241292187945,3.6874822161670466,0.8,1,0,False,False,False,False,952.0,952.0
1,turbo_nei,2,Q_S01_turbo_nei_ST02,ATTIA_CONT_86fd16265d9a,6.911417110425191,5.613016476335905,4.267182562493773,3.6213355346370832,0.8,0,1,False,False,False,False,952.0,618.0
1,turbo_nei,3,Q_S01_turbo_nei_ST03,ATTIA_CONT_00ceb0590ebb,5.571831911721043,5.84767079783086,4.665553643893622,3.724199858202065,0.8,1,0,False,False,False,False,978.0,978.0
1,turbo_nei,4,Q_S01_turbo_nei_ST04,ATTIA_CONT_542928f4224d,5.921904679683157,4.972678477181174,5.315607472561277,3.633131787626332,0.8,0,1,False,False,False,False,978.0,877.0
1,turbo_nei,5,Q_S01_turbo_nei_ST05,ATTIA_CONT_a6fc5f0a5c49,4.593841216734142,5.349594395441012,4.634821153088408,4.695663139910249,0.8,1,0,False,False,False,False,1003.0,1003.0
1,turbo_nei,6,Q_S01_turbo_nei_ST06,ATTIA_CONT_83e77fc3566b,5.403222294559046,6.267006210050418,3.9093752163699222,4.293735949812165,0.8,0,1,False,False,False,False,1003.0,818.0
1,turbo_nei,7,Q_S01_turbo_nei_ST07,ATTIA_CONT_d60c84507cb4,4.781553955821419,6.1336351665506275,4.182098794464608,4.503562054273491,0.8,1,0,False,False,False,False,1045.0,1045.0
1,turbo_nei,8,Q_S01_turbo_nei_ST08,ATTIA_CONT_15d9e5fa01d8,6.080921416098217,5.684954939867452,4.084484874907635,4.029775742359388,0.8,0,1,False,False,False,False,1045.0,924.0
1,turbo_nei,9,Q_S01_turbo_nei_ST09,ATTIA_CONT_a3d8a17ec8fb,6.440404511559192,6.843186961782617,3.953041281962725,3.5847040723787544,0.8,0,2,False,False,False,False,1045.0,556.0
1,turbo_nei,10,Q_S01_turbo_nei_ST10,ATTIA_CONT_9cbb94b65696,5.139674772630157,6.62910641613836,3.6659493922032764,4.648180060864574,0.8,0,3,False,False,False,False,1045.0,587.0
