run_seed,target,strategy,iteration,selected_sample_id,library,area,Au,Ir,Rh,observed_target,best_observed,global_best,regret,relative_regret,percent_deviation,acquisition_score,turbo_length,benchmark_mode
42,k0,random,1,AUIRH_Au-rich_097,Au-rich,97,60.01,32.26,7.73,0.0092241409978133,0.0092241409978133,0.0142014497462072,0.0049773087483939,0.3504789185148648,35.047891851486476,0.0,,pooled
42,k0,random,2,AUIRH_Au-rich_098,Au-rich,98,58.88,32.49,8.63,0.0107211589691719,0.0107211589691719,0.0142014497462072,0.0034802907770352994,0.24506587983841477,24.506587983841477,0.4388784397520523,,pooled
42,k0,random,3,AUIRH_Rh-rich_115,Rh-rich,115,10.69,16.11,73.2,0.0067015882189722,0.0107211589691719,0.0142014497462072,0.0034802907770352994,0.24506587983841477,24.506587983841477,0.8585979199113825,,pooled
42,k0,random,4,AUIRH_Au-rich_093,Au-rich,93,46.46,26.42,27.12,0.0109570808296806,0.0109570808296806,0.0142014497462072,0.0032443689165266004,0.22845336036154185,22.845336036154183,0.09417734788764953,,pooled
42,k0,random,5,AUIRH_Rh-rich_034,Rh-rich,34,14.04,39.89,46.07,0.0044600910623966,0.0109570808296806,0.0142014497462072,0.0032443689165266004,0.22845336036154185,22.845336036154183,0.9756223516367559,,pooled
42,k0,random,6,AUIRH_Rh-rich_078,Rh-rich,78,22.38,48.63,28.99,0.0026168506470406,0.0109570808296806,0.0142014497462072,0.0032443689165266004,0.22845336036154185,22.845336036154183,0.7860643052769538,,pooled
42,k0,random,7,AUIRH_Rh-rich_102,Rh-rich,102,21.91,39.22,38.87,0.0024278514006782,0.0109570808296806,0.0142014497462072,0.0032443689165266004,0.22845336036154185,22.845336036154183,0.12811363267554587,,pooled
42,k0,random,8,AUIRH_Rh-rich_179,Rh-rich,179,36.41,36.21,27.37,0.0007322451454611,0.0109570808296806,0.0142014497462072,0.0032443689165266004,0.22845336036154185,22.845336036154183,0.37079802423258124,,pooled
42,k0,random,9,AUIRH_Ir-rich_123,Ir-rich,123,13.83,76.89,9.28,0.0049488157835844,0.0109570808296806,0.0142014497462072,0.0032443689165266004,0.22845336036154185,22.845336036154183,0.9267649888486018,,pooled
42,k0,random,10,AUIRH_Rh-rich_122,Rh-rich,122,24.84,38.03,37.13,0.0020428320635236,0.0109570808296806,0.0142014497462072,0.0032443689165266004,0.22845336036154185,22.845336036154183,0.82276161327083,,pooled
42,k0,random,11,AUIRH_Ir-rich_317,Ir-rich,317,39.25,43.18,17.57,0.0068230054630534,0.0109570808296806,0.0142014497462072,0.0032443689165266004,0.22845336036154185,22.845336036154183,0.44341419882733113,,pooled
42,k0,random,12,AUIRH_Ir-rich_122,Ir-rich,122,13.26,78.36,8.38,0.0057604471352834,0.0109570808296806,0.0142014497462072,0.0032443689165266004,0.22845336036154185,22.845336036154183,0.5545847870158348,,pooled
42,k0,random,13,AUIRH_Au-rich_230,Au-rich,230,70.7,15.27,14.03,0.0126434948417894,0.0126434948417894,0.0142014497462072,0.0015579549044177996,0.1097039339123729,10.970393391237291,0.06381725610417532,,pooled
