Potential vs. RHE [V],Current density [A/cm^2],Standard deviation [A/cm^2]
-0.8428068161010742,-7.918812203512776,0.2005039160128414
-0.8387079238891602,-7.880627211282731,0.1584943168915331
-0.8346090316772461,-7.910001732151474,0.18279103123280413
-0.830510139465332,-7.880990854404612,0.18044894388511407
-0.826411247253418,-7.902426839956578,0.19235708665143672
-0.8223123550415039,-7.899747653574806,0.16376574129380475
-0.8182134628295898,-7.8895586921209615,0.17161011365637227
-0.8141145706176758,-7.924493283437204,0.17528877569437043
-0.8100156784057617,-7.886675525170048,0.18561257828368305
-0.8059167861938477,-7.917380914819961,0.18372691997625354
-0.8018178939819336,-7.912319551567292,0.1770914923762362
-0.7977190017700195,-7.900925154967177,0.1788373569644656
-0.7936201095581055,-7.911966039675229,0.16769761829249716
-0.7895212173461914,-7.912871398686217,0.1686397149174281
-0.7854223251342773,-7.9266436815041486,0.1849683618459328
-0.7813234329223633,-7.902174962394334,0.1845713245289054
-0.7772245407104492,-7.907398070892191,0.1763997791951616
-0.7731256484985352,-7.914296807860278,0.16735136732097075
-0.7690267562866211,-7.889453002285843,0.19051142381952182
-0.764927864074707,-7.929132970793407,0.18391872521248137
-0.760828971862793,-7.907716108849297,0.173411886076237
-0.7567300796508789,-7.895940781627384,0.1772887040222844
-0.7526311874389648,-7.908914255624782,0.1633214243106533
-0.7485322952270508,-7.907148587733485,0.18136654353434636
-0.7444334030151367,-7.9046463894588825,0.17388790084230618
-0.7403345108032227,-7.9055340205210785,0.17017531388012905
-0.7362356185913086,-7.885794666886241,0.17734582459449366
-0.7321367263793945,-7.918126128160583,0.18999657998476624
-0.7280378341674805,-7.898545927178001,0.16618037561889684
-0.7239389419555664,-7.913184305093829,0.1687775522255814
-0.7198400497436523,-7.891568485580554,0.16620439012165544
-0.7157411575317383,-7.8955531656934435,0.18462821260090226
-0.7116422653198242,-7.8828342994812,0.1746843581266343
-0.7075433731079102,-7.898599169916236,0.17247478514703193
-0.7034444808959961,-7.896566700137832,0.16094249742740824
-0.699345588684082,-7.887421472922214,0.18901481485342045
-0.695246696472168,-7.880911718082213,0.17773554398803892
-0.6911478042602539,-7.882182888269203,0.17423252374059633
-0.6870489120483398,-7.891736695236826,0.1722907045581824
-0.6829500198364258,-7.891551460701206,0.172811217235251
-0.6788511276245117,-7.8654108373836,0.17257614460006415
-0.6747522354125977,-7.865838709868822,0.16277818756431903
-0.6706533432006836,-7.8655480103541935,0.16591404396986179
-0.6665544509887695,-7.8512619122534515,0.16676810925665378
-0.6624555587768555,-7.855486681480471,0.1780317373874885
-0.6583566665649414,-7.835292576308625,0.16099441164291328
-0.6542577743530273,-7.83192370395317,0.16908813254580218
-0.6501588821411133,-7.831625427541565,0.1543395443507795
-0.6460599899291992,-7.840194200020189,0.17871747161105095
-0.6419610977172852,-7.805362785531497,0.14817869252101615
-0.6378622055053711,-7.8133766991430464,0.16372202338750946
-0.633763313293457,-7.8089404022457325,0.15807551519655147
-0.629664421081543,-7.816631325923183,0.15190166857565401
-0.6255655288696289,-7.795263874395851,0.16304601177451086
-0.6214666366577148,-7.781775997156952,0.14352796427073347
-0.6173677444458008,-7.774687057973452,0.1657914713729205
-0.6132688522338867,-7.777304517156978,0.1597622152313635
-0.6091699600219727,-7.753989805786934,0.16230047653024593
-0.6050710678100586,-7.731304333822838,0.1495036801234972
-0.6009721755981445,-7.744293260676038,0.1530519698779313
-0.5968732833862305,-7.724875497084096,0.1458962284461685
-0.5927743911743164,-7.713439340045748,0.13513161012315392
-0.5886754989624023,-7.70590106160839,0.15802543790658835
-0.5845766067504883,-7.704445983051549,0.1410890724789011
-0.5804777145385742,-7.665124994020601,0.12881900701229654
-0.5763788223266602,-7.656971780480028,0.1342694070398297
-0.5722799301147461,-7.646526267959975,0.1409381998290106
-0.568181037902832,-7.6528603017250925,0.13363297932049142
-0.564082145690918,-7.613594930027059,0.12718841469069234
-0.5599832534790039,-7.618730597501724,0.12717454128950278
-0.5558843612670898,-7.5851483532179955,0.1244233936838738
-0.5517854690551758,-7.561455694228623,0.1182130076707761
-0.5476865768432617,-7.551389644279239,0.12310059426178042
-0.5435876846313477,-7.5520736746321075,0.11077089273918679
-0.5394887924194336,-7.5047739359021755,0.1272601740152599
-0.5353899002075195,-7.502158440751823,0.11747186451839921
-0.5312910079956055,-7.4659954872786685,0.09186656160744228
-0.5271921157836914,-7.453951739154088,0.11779024001814381
-0.5230932235717773,-7.431535001011208,0.10431359188876482
-0.5189943313598633,-7.409177198485675,0.10470335469412981
-0.5148954391479492,-7.385724442537416,0.09666975751885813
-0.5107965469360352,-7.363563789384344,0.09803810035078839
-0.5066976547241211,-7.308114501048377,0.08461567086959638
-0.502598762512207,-7.304903800327399,0.08523118466025521
-0.49849987030029297,-7.283729476751194,0.09824955304962435
-0.4944009780883789,-7.246172306966372,0.0903247676838549
-0.49030208587646484,-7.21528561543406,0.08091917611884189
-0.4862031936645508,-7.169375689634538,0.08585730970822393
-0.4821043014526367,-7.153057488749518,0.07663978480140198
-0.47800540924072266,-7.107228680121758,0.08704251353410221
-0.4739065170288086,-7.1000488206412555,0.06830052061630261
-0.46980762481689453,-7.053788699132141,0.09622238079247998
-0.46570873260498047,-7.014417504705707,0.05255774235204659
-0.4616098403930664,-6.961643131980054,0.08608852081116923
-0.45751094818115234,-6.933877950128687,0.057113351424123354
-0.4534120559692383,-6.890067152552078,0.06452771912096807
-0.4493131637573242,-6.871911009677921,0.06182959155363431
-0.44521427154541016,-6.793214195407731,0.053935052345946456
-0.4411153793334961,-6.775905513414273,0.06242346211379128
-0.43701648712158203,-6.710608140800119,0.06707108967752096
-0.43291759490966797,-6.6470219142743305,0.06477792060829453
-0.4288187026977539,-6.606855355265188,0.07156804428783306
-0.42471981048583984,-6.550621415813119,0.032884257613268845
-0.4206209182739258,-6.507008829681083,0.08398963479085311
-0.4165220260620117,-6.442403969353883,0.05953695027155813
-0.41242313385009766,-6.3744803300637605,0.06751403800618494
-0.4083242416381836,-6.334171628401987,0.05865189273587731
-0.40422534942626953,-6.264285567965143,0.05909914168976153
-0.40012645721435547,-6.196784420452396,0.07464685508236622
-0.3960275650024414,-6.139867374644827,0.061192451204057745
-0.39192867279052734,-6.071712508180174,0.05199164595872848
-0.3878297805786133,-6.013266669086355,0.06512278388107892
-0.3837308883666992,-5.907040522010593,0.06513342436765526
-0.37963199615478516,-5.900407480736213,0.07768862407807188
-0.3755331039428711,-5.790449174800508,0.07782389254078642
-0.37143421173095703,-5.737150657262842,0.09058356269886335
-0.36733531951904297,-5.595942999501624,0.0680878237404973
-0.3632364273071289,-5.573037377243627,0.0802692841284873
-0.35913753509521484,-5.487882491293633,0.07529864961848252
-0.3550386428833008,-5.418628167110863,0.07422575928796483
-0.3509397506713867,-5.3122265615299975,0.08899854387318931
-0.34684085845947266,-5.220391839870573,0.07779431235533088
-0.3427419662475586,-5.131757153265201,0.09051309903992531
-0.33864307403564453,-5.055255769803243,0.09369715147262427
-0.33454418182373047,-4.961058607533082,0.07978003263118015
-0.3304452896118164,-4.878902590704435,0.10671055241584709
-0.32634639739990234,-4.756812380960075,0.07124106868885093
-0.3222475051879883,-4.6673713810470225,0.07561229022925872
-0.3181486129760742,-4.580155176543428,0.08277883849287584
-0.31404972076416016,-4.49557009805073,0.11222965026540499
-0.3099508285522461,-4.387155838611691,0.13098030582140657
-0.30585193634033203,-4.286024000728973,0.07812294853815702
-0.30175304412841797,-4.200441793085866,0.10137002680116236
-0.2976541519165039,-4.0777889226606225,0.10447820534217382
-0.29355525970458984,-4.0086882796539225,0.11727844210765166
-0.2894563674926758,-3.8665833991285545,0.10680007430733904
-0.2853574752807617,-3.788405004533613,0.09191498518768168
-0.28125858306884766,-3.649835236569604,0.0931666699950813
-0.2771596908569336,-3.572478724329858,0.10553243248204719
-0.27306079864501953,-3.4513817406833738,0.11599146149200992
-0.26896190643310547,-3.3738788089738976,0.11730790949357862
-0.2648630142211914,-3.2358282731772916,0.11893007450597773
-0.26076412200927734,-3.161792774436606,0.13543367719390084
-0.2566652297973633,-3.0679440294615095,0.10298662429575167
-0.2525663375854492,-2.9971718146944775,0.10189181662831352
-0.24846744537353516,-2.853112462213113,0.09902311388397005
-0.2443685531616211,-2.787761684265862,0.10891572935964047
-0.24026966094970703,-2.687775212719785,0.08152847649378522
-0.23617076873779297,-2.6089071860758173,0.10876467374844749
-0.2320718765258789,-2.4854172455507793,0.11071646864772018
-0.22797298431396484,-2.406177512185845,0.10022207836958281
-0.22387409210205078,-2.3306043997730708,0.10747179925029572
-0.21977519989013672,-2.225042975707924,0.10575297113645525
-0.21567630767822266,-2.1612737398488133,0.087039342051449
-0.2115774154663086,-2.0468334178597996,0.0664077266437474
-0.20747852325439453,-2.0081139212622863,0.08352271183937506
-0.20337963104248047,-1.9075909422437658,0.0757705747316918
-0.1992807388305664,-1.845779551710206,0.10423569403226084
-0.19518184661865234,-1.777568746406019,0.10165207529957719
-0.19108295440673828,-1.6779535823036926,0.07032221268219528
