Potential vs. RHE [V],Current density [A/cm^2],Standard deviation [A/cm^2]
-0.8431129455566406,-7.947148038393151,0.15207900099456384
-0.8390140533447266,-7.940310866373412,0.1600284646357663
-0.8349151611328125,-7.9413734756627266,0.152747690587254
-0.8308162689208984,-7.959553706551667,0.15679523802144762
-0.8267173767089844,-7.955755402933804,0.15382304773681013
-0.8226184844970703,-7.93371448586711,0.15225796851565554
-0.8185195922851562,-7.957848743641468,0.16557106132706298
-0.8144207000732422,-7.942036319855299,0.1440997072031553
-0.8103218078613281,-7.959112021734112,0.176290002032577
-0.8062229156494141,-7.9518878319629165,0.15432593535277098
-0.8021240234375,-7.951575476359369,0.1471422446732542
-0.7980251312255859,-7.969907555001793,0.16548203613533022
-0.7939262390136719,-7.949061666320493,0.13749830973948657
-0.7898273468017578,-7.988801892106586,0.18432721580840697
-0.7857284545898438,-7.949841045166846,0.14014967426778743
-0.7816295623779297,-7.996462656179936,0.16661015307112487
-0.7775306701660156,-7.952589787118998,0.14495541026800388
-0.7734317779541016,-7.961319904217993,0.14777893528461086
-0.7693328857421875,-7.96590270248224,0.17391851096776528
-0.7652339935302734,-7.958076800433425,0.14222734098951215
-0.7611351013183594,-7.967262157522639,0.14839774494108135
-0.7570362091064453,-7.971738863043832,0.14467404892519753
-0.7529373168945312,-7.965408895773194,0.15688019390929003
-0.7488384246826172,-7.956380530487465,0.17697231858693172
-0.7447395324707031,-7.9577243971204625,0.15162989541838365
-0.7406406402587891,-7.981576839052319,0.16234517908187246
-0.736541748046875,-7.955631756915977,0.13415670334092
-0.7324428558349609,-7.976671253654743,0.1734519456853108
-0.7283439636230469,-7.957394629785483,0.14926282791247927
-0.7242450714111328,-7.959610425636815,0.1427679822441704
-0.7201461791992188,-7.965181254860724,0.15230499826569227
-0.7160472869873047,-7.934994480082281,0.13348114065460934
-0.7119483947753906,-7.96447658236443,0.15653635541577585
-0.7078495025634766,-7.946599169290877,0.15583795658835167
-0.7037506103515625,-7.956220555022578,0.14839555702421264
-0.6996517181396484,-7.9427551025731775,0.1436524532512223
-0.6955528259277344,-7.930643850375868,0.13419981760913163
-0.6914539337158203,-7.960261726244664,0.1627519428297286
-0.6873550415039062,-7.928882487324245,0.14192435389195288
-0.6832561492919922,-7.9275546156387335,0.13426951272699383
-0.6791572570800781,-7.936120847389485,0.1507677750599324
-0.6750583648681641,-7.913452360741847,0.1570960508693476
-0.67095947265625,-7.915467291451272,0.15852557125979758
-0.6668605804443359,-7.9176237913375145,0.13141460553097667
-0.6627616882324219,-7.917461212497863,0.15724429764136705
-0.6586627960205078,-7.898160354497427,0.1432360113546149
-0.6545639038085938,-7.90153730622248,0.14465620231112178
-0.6504650115966797,-7.884075965626768,0.15600180640662165
-0.6463661193847656,-7.884118036002584,0.14025021152242317
-0.6422672271728516,-7.877685607309779,0.1490582372119689
-0.6381683349609375,-7.869272545270069,0.15020588662569848
-0.6340694427490234,-7.874798982539489,0.15189246563066108
-0.6299705505371094,-7.847565781629766,0.14479530281832778
-0.6258716583251953,-7.85674513485122,0.14601153162321814
-0.6217727661132812,-7.853000463958343,0.144200192679904
-0.6176738739013672,-7.8341570919138315,0.13805576429292152
-0.6135749816894531,-7.815135333792344,0.1518701460685956
-0.6094760894775391,-7.816424139138679,0.142092394801144
-0.605377197265625,-7.8126482727092545,0.12818607335675272
-0.6012783050537109,-7.784140679114774,0.12457234103942788
-0.5971794128417969,-7.781654078506874,0.13813787166383998
-0.5930805206298828,-7.7672544951190075,0.14782205213260305
-0.5889816284179688,-7.756035468690197,0.13458681580489726
-0.5848827362060547,-7.742445070973292,0.1366472722698644
-0.5807838439941406,-7.721014227119821,0.1280721915833308
-0.5766849517822266,-7.711155883519911,0.125609252219913
