Library,Area,i_lim [A/cm^2],k^0 [cm/s],alpha [a.u.]
Au-rich,335,7.058020419678239,0.0103455895976386,0.3153913576834582
Au-rich,88,7.162920416924919,0.0121769470294086,0.3141536337144765
Au-rich,188,6.974312341222229,0.0138600541854893,0.3048232916330933
Au-rich,269,6.982618086474644,0.0124934479890205,0.306109017963955
Au-rich,163,7.07851367161949,0.0127574184796827,0.3051387843992896
Au-rich,115,7.163657722008747,0.0106692558782138,0.316529213226739
Au-rich,193,7.096766884084895,0.0125141143718165,0.3103824769978709
Au-rich,337,7.221470693481919,0.0090427135614848,0.3045917399647967
Au-rich,304,6.93581622660189,0.0125101072360411,0.3127003632429425
Au-rich,321,6.923128954285116,0.0115104554212935,0.3106917692320714
Au-rich,9,7.025208456757873,0.0107728077754446,0.3074171094602352
Au-rich,47,7.388262636461708,0.0124625656216396,0.2926313996851519
Au-rich,244,7.1721376066286116,0.0105913643775806,0.3025017533834506
Au-rich,254,7.032332451059006,0.011751334815994,0.3130159388148005
Au-rich,92,7.074993317607899,0.0118070641827343,0.315081416198929
Au-rich,145,7.083966849589573,0.013584729900965,0.3080253154699253
Au-rich,248,6.977050627447576,0.0132716337570425,0.3035448690150997
Au-rich,313,7.255168341734253,0.0094097986159613,0.3060176518498347
Au-rich,259,7.190185472989754,0.0114529864078278,0.3104079873959832
Au-rich,128,7.142445649898734,0.0116270910382598,0.3106397168076519
Au-rich,85,7.274137167596925,0.0128674312905112,0.3048040899782341
Au-rich,159,7.120541301826872,0.0123022150241667,0.2961491046428046
Au-rich,195,7.181690683108007,0.0119843482389162,0.3140247265269469
Au-rich,37,7.175829296825226,0.0133551834888864,0.3124980271874042
Au-rich,113,7.129446469407877,0.0116401119993766,0.3152421270136606
Au-rich,292,7.1466546591496805,0.0119403641084833,0.3096098956692295
Au-rich,121,7.157500983736641,0.0114969345518315,0.3064116737850106
Au-rich,3,7.223025603805148,0.0068702661476859,0.3048221442517778
Au-rich,285,7.236558044117765,0.0117287139509857,0.3051702080132795
Au-rich,230,6.9907928125020975,0.0126434948417894,0.3060574158519662
