Potential vs. RHE [V],Current density [A/cm^2],Standard deviation [A/cm^2]
-0.8436088562011719,-7.765375012321314,0.09471765389320236
-0.8395099639892578,-7.776051997224169,0.06537555900624564
-0.8354110717773438,-7.775266727689563,0.10231027762221581
-0.8313121795654297,-7.770333063693496,0.07828485100141826
-0.8272132873535156,-7.750391869142078,0.08200962855271937
-0.8231143951416016,-7.773290583008439,0.08845366558588984
-0.8190155029296875,-7.752032186330237,0.0784118693647795
-0.8149166107177734,-7.765953481579547,0.0904860967540242
-0.8108177185058594,-7.743211699766101,0.07430336031606022
-0.8067188262939453,-7.748524414136118,0.07877227808899095
-0.8026199340820312,-7.745639458717349,0.0835499131676886
-0.7985210418701172,-7.72926329038047,0.07360883951493012
-0.7944221496582031,-7.729620075861125,0.08461500958594173
-0.7903232574462891,-7.731684037681512,0.07803506201228429
-0.786224365234375,-7.727480937189113,0.08952574813999256
-0.7821254730224609,-7.706595842489171,0.08632403437128121
-0.7780265808105469,-7.715947051646167,0.06306296447165405
-0.7739276885986328,-7.699806942903329,0.07388746521011834
-0.7698287963867188,-7.695895420379665,0.06280830235442622
-0.7657299041748047,-7.689175433707046,0.09430629753113333
-0.7616310119628906,-7.6762154784342975,0.0678467281290899
-0.7575321197509766,-7.686470481819373,0.07363642507872627
-0.7534332275390625,-7.68351358175519,0.08456102131498701
-0.7493343353271484,-7.666857386903554,0.056600336181320925
-0.7452354431152344,-7.650161813644307,0.06773115747922252
-0.7411365509033203,-7.645792108226149,0.06880180289817757
-0.7370376586914062,-7.651930660630726,0.07058571670862587
-0.7329387664794922,-7.633353777372608,0.06433261062612954
-0.7288398742675781,-7.627998231487706,0.05771067058772015
-0.7247409820556641,-7.609885460456973,0.07956593284838501
-0.72064208984375,-7.5966317617333585,0.058964198511729404
-0.7165431976318359,-7.611866924511621,0.07503648887688262
-0.7124443054199219,-7.590590656091103,0.041103812214446325
-0.7083454132080078,-7.581280238037373,0.07595068123755032
-0.7042465209960938,-7.5644422283544275,0.05459937856894628
-0.7001476287841797,-7.563343915802558,0.0498841875226909
-0.6960487365722656,-7.558017485234028,0.0695417303542757
-0.6919498443603516,-7.543327496653567,0.06576270190325464
-0.6878509521484375,-7.531100778768323,0.059111235482386885
-0.6837520599365234,-7.505423562220689,0.06469013150297391
-0.6796531677246094,-7.5040415243033785,0.0469317061380393
-0.6755542755126953,-7.490666612395941,0.0588924861333927
-0.6714553833007812,-7.474667811952199,0.052120516126610665
-0.6673564910888672,-7.46965077475826,0.07502379646277064
-0.6632575988769531,-7.4470214239514325,0.04913087902121331
-0.6591587066650391,-7.435319901724139,0.055071731192047495
-0.655059814453125,-7.4028813293017235,0.05126906189124985
-0.6509609222412109,-7.402206469683681,0.05690257164764058
-0.6468620300292969,-7.379195369565751,0.04897036014072224
-0.6427631378173828,-7.35211273523393,0.03768955420276118
-0.6386642456054688,-7.358905100057323,0.052653936752600924
-0.6345653533935547,-7.317145213172687,0.05823331450397505
-0.6304664611816406,-7.3009628397842325,0.029305333677470936
-0.6263675689697266,-7.28926706465194,0.047556867822882855
-0.6222686767578125,-7.271233655707861,0.04744916116110381
-0.6181697845458984,-7.226419434455036,0.05330415426013096
-0.6140708923339844,-7.218710875962533,0.03188484062350461
-0.6099720001220703,-7.203843717878286,0.04700307406476731
-0.6058731079101562,-7.169269792990202,0.046198554232662635
-0.6017742156982422,-7.153784950135981,0.032229116187931756
-0.5976753234863281,-7.131913213966928,0.054391407021888785
-0.5935764312744141,-7.106065679424262,0.03290171324845056
-0.5894775390625,-7.062011668847579,0.04851537010954947
-0.5853786468505859,-7.045557223043261,0.03956340566925124
-0.5812797546386719,-7.004750235909067,0.038414003873928765
-0.5771808624267578,-6.994361377447302,0.04172618688037182
-0.5730819702148438,-6.957220085073044,0.047777868031759485
-0.5689830780029297,-6.924246287843704,0.04607703099608171
-0.5648841857910156,-6.872207208799023,0.022497915158417092
-0.5607852935791016,-6.863976989211147,0.03973205376235555
-0.5566864013671875,-6.832357527993683,0.049610373481364115
-0.5525875091552734,-6.7812980812610695,0.03508029648107521
-0.5484886169433594,-6.749811201616388,0.06710004222395596
-0.5443897247314453,-6.698083907508006,0.0370806069562545
-0.5402908325195312,-6.6597934319178735,0.057991377703976055
-0.5361919403076172,-6.6328670174432025,0.007984210880013871
-0.5320930480957031,-6.591592528275626,0.0770556941973142
-0.5279941558837891,-6.530156761537761,0.046467688614014215
-0.523895263671875,-6.505003323160726,0.0224777504508947
-0.5197963714599609,-6.4571531674287534,0.027875617386892936
-0.5156974792480469,-6.428549084029538,0.048504845673358804
-0.5115985870361328,-6.3564591614832935,0.06460165909436545
-0.5074996948242188,-6.342135462396435,0.03436944860396811
-0.5034008026123047,-6.270177532883082,0.050670804068446
-0.4993019104003906,-6.231100728441741,0.061784651916847684
-0.49520301818847656,-6.139853402640232,0.012554152296160368
-0.4911041259765625,-6.129545243410893,0.03735050291458029
-0.48700523376464844,-6.053693834470096,0.021397981265227663
-0.4829063415527344,-6.0181028791344575,0.07385867826342586
-0.4788074493408203,-5.914407567909908,0.016421581527101412
-0.47470855712890625,-5.890730425429317,0.05676969175629292
-0.4706096649169922,-5.83316267194207,0.04961724069795267
-0.4665107727050781,-5.7643066986985785,0.03497644862339483
-0.46241188049316406,-5.684077132505645,0.07213251025168765
-0.45831298828125,-5.656268608450361,0.018661576877229077
-0.45421409606933594,-5.55606186095875,0.06742943440924463
-0.4501152038574219,-5.525830602766795,0.03350985642141862
-0.4460163116455078,-5.41942188579704,0.06748278240021284
-0.44191741943359375,-5.376377522579126,0.02886872015577801
-0.4378185272216797,-5.2936775037622725,0.05151534324530601
-0.4337196350097656,-5.227474440971836,0.051484539789906796
-0.42962074279785156,-5.16134239761642,0.05255098683747673
-0.4255218505859375,-5.080779264257995,0.06461162810972794
-0.42142295837402344,-5.027380537809857,0.07281368952366779
-0.4173240661621094,-4.9200663079644045,0.06032023175456717
-0.4132251739501953,-4.843115555653799,0.05053195352704441
-0.40912628173828125,-4.766681264086718,0.0703956199384336
-0.4050273895263672,-4.7032496965247,0.0696050203398571
-0.4009284973144531,-4.601621995980218,0.06707469795054541
-0.39682960510253906,-4.515438003122024,0.053657430504986454
-0.392730712890625,-4.4351455789362175,0.061358318611797844
-0.38863182067871094,-4.357874378548608,0.05033841390550394
-0.3845329284667969,-4.282708175533681,0.05673654810229052
-0.3804340362548828,-4.210825928018054,0.06450045802499298
-0.37633514404296875,-4.089354219678937,0.03030278539027382
-0.3722362518310547,-3.9997967666062304,0.0472883855383669
-0.3681373596191406,-3.9250630759465124,0.05483337613162399
-0.36403846740722656,-3.867503010058757,0.05466673982473815
-0.3599395751953125,-3.763183960266954,0.05563975453337203
-0.35584068298339844,-3.678136214826198,0.050514761721025335
-0.3517417907714844,-3.587200778746297,0.05301593995231891
-0.3476428985595703,-3.49458470745872,0.0222674899462473
-0.34354400634765625,-3.4387134644508266,0.056501619513747756
-0.3394451141357422,-3.3406900356568556,0.04867377727200799
-0.3353462219238281,-3.2577882981498316,0.03694453012506921
-0.33124732971191406,-3.1652454940052386,0.04507166860248801
-0.3271484375,-3.1009174818401584,0.03549373001941479
-0.32304954528808594,-3.0319593280007164,0.05053782925135498
-0.3189506530761719,-2.935930062505657,0.02837024124059851
-0.3148517608642578,-2.8526676769070853,0.04716987823979646
-0.31075286865234375,-2.771709095311872,0.04677561040328478
-0.3066539764404297,-2.685125595769708,0.04555565160987689
-0.3025550842285156,-2.6160799057849853,0.03341338128385897
