Potential vs. RHE [V],Current density [A/cm^2],Standard deviation [A/cm^2]
-0.8428058624267578,-7.314367782243845,0.10671576863606663
-0.8387069702148438,-7.305374627129136,0.0356997328181385
-0.8346080780029297,-7.315152908855083,0.11200810341159606
-0.8305091857910156,-7.292614496135535,0.08987426832625195
-0.8264102935791016,-7.326997527647793,0.08126688660438403
-0.8223114013671875,-7.304164026413332,0.10592375801154731
-0.8182125091552734,-7.2958545287578405,0.033688486198651384
-0.8141136169433594,-7.357095396707574,0.12973811473816646
-0.8100147247314453,-7.286880205838162,0.05749592078872777
-0.8059158325195312,-7.3404888904664665,0.09854109739167934
-0.8018169403076172,-7.270690720927919,0.08767163827097996
-0.7977180480957031,-7.344892299089953,0.050518663479431354
-0.7936191558837891,-7.292485030268416,0.11875916271939785
-0.789520263671875,-7.311267874031338,0.06778974564251657
-0.7854213714599609,-7.304181740503736,0.11013819669097571
-0.7813224792480469,-7.329103056789329,0.0752247168284926
-0.7772235870361328,-7.31624547197401,0.07373499481990524
-0.7731246948242188,-7.313884885429509,0.10898292978944787
-0.7690258026123047,-7.302591362037494,0.052787018394895927
-0.7649269104003906,-7.320140018005861,0.15398799860559603
-0.7608280181884766,-7.314163261055097,0.0647170321668314
-0.7567291259765625,-7.325048232331024,0.1346947108010124
-0.7526302337646484,-7.3124828400642015,0.08147254947305174
-0.7485313415527344,-7.329809534101323,0.08886442707268155
-0.7444324493408203,-7.288122440818015,0.11542932431541633
-0.7403335571289062,-7.316484213415216,0.05815530993672575
-0.7362346649169922,-7.299526833462707,0.1134554342082019
-0.7321357727050781,-7.323805139883735,0.09498158610429416
-0.7280368804931641,-7.294775150676894,0.10306779067641246
-0.72393798828125,-7.283375082559876,0.10678590734407671
-0.7198390960693359,-7.319959039329384,0.08308154176777122
-0.7157402038574219,-7.304111181468779,0.1136136208485349
-0.7116413116455078,-7.294271623406662,0.09682509090403624
-0.7075424194335938,-7.28681325003027,0.08749134849135465
-0.7034435272216797,-7.30832797003917,0.10968670779475977
-0.6993446350097656,-7.248487120724318,0.07115611531770767
-0.6952457427978516,-7.311199264461618,0.1305993040555767
-0.6911468505859375,-7.259446755260451,0.061129495618833705
-0.6870479583740234,-7.274026193783861,0.12056192518550347
-0.6829490661621094,-7.2575535546563215,0.09493581944609436
-0.6788501739501953,-7.271542243348019,0.09053593835734856
-0.6747512817382812,-7.272473105604971,0.12099379553041874
-0.6706523895263672,-7.2531562298124825,0.06047491627946531
-0.6665534973144531,-7.243648308629177,0.12100783580449553
-0.6624546051025391,-7.2623665485445335,0.0697935313102314
-0.658355712890625,-7.219398946958918,0.08487481609403046
-0.6542568206787109,-7.237472581496893,0.11086915656211781
-0.6501579284667969,-7.2039529357575285,0.08254492562414288
-0.6460590362548828,-7.234992580972531,0.12645553045184016
-0.6419601440429688,-7.210973355841172,0.06886284523615732
-0.6378612518310547,-7.219317187294057,0.09140904332982626
-0.6337623596191406,-7.211557868575447,0.08550668027703331
-0.6296634674072266,-7.1670221382606725,0.0811400050688245
-0.6255645751953125,-7.20764814906164,0.10966198796231175
-0.6214656829833984,-7.154701910430241,0.043174369007974334
-0.6173667907714844,-7.178647348661375,0.1110751667075885
-0.6132678985595703,-7.151334760350939,0.07702624785670151
-0.6091690063476562,-7.129469018294117,0.09227015556805437
-0.6050701141357422,-7.148164320746972,0.08158280760313505
-0.6009712219238281,-7.1074985974627145,0.07855583461250014
