pair,source_library,destination_library,seed_index,run_seed,cold_start_regret,warm_prior_regret,paired_delta
Au-rich->Ir-rich,Au-rich,Ir-rich,0,42,0.0037781938311612006,0.0027650416724031004,-0.0010131521587581002
Au-rich->Ir-rich,Au-rich,Ir-rich,1,43,0.0022123535256289,0.0022123535256289,0.0
Au-rich->Rh-rich,Au-rich,Rh-rich,0,42,0.0029875368958569995,0.0011628396728408001,-0.0018246972230161994
Au-rich->Rh-rich,Au-rich,Rh-rich,1,43,0.0007460397392813995,0.0030391287815352995,0.0022930890422539
Ir-rich->Rh-rich,Ir-rich,Rh-rich,0,42,0.0029875368958569995,0.0030332470989162,4.571020305920055e-05
Ir-rich->Rh-rich,Ir-rich,Rh-rich,1,43,0.0007460397392813995,0.0011628396728408001,0.0004167999335594006
Rh-rich->Ir-rich,Rh-rich,Ir-rich,0,42,0.0037781938311612006,0.0016599961515981008,-0.0021181976795631
Rh-rich->Ir-rich,Rh-rich,Ir-rich,1,43,0.0022123535256289,0.0022123535256289,0.0
