material,target,model,modality_group,ridge_r2_pooled,ridge_mae_pooled,ridge_rmse_pooled,ridge_r2_fold_mean,ridge_r2_fold_std,stage_aware_r2_pooled,stage_aware_mae_pooled,stage_aware_rmse_pooled,stage_aware_r2_fold_mean,stage_aware_r2_fold_std
Anode,thickness_after_um,PROCESS_ONLY,TABULAR_STATE_PROCESS,0.9440219981478442,6.933191217500161,8.764226127394293,0.9215745543792776,0.04416850161247485,0.9919386433668604,2.4812424977620444,3.32589815043518,0.9740803582733968,0.035172100736290034
Anode,thickness_after_um,ULTRASOUND_ONLY,ULTRASOUND_ONLY,0.8354072958599721,11.477044534602337,15.028310812726353,0.7100723718641815,0.252893790568071,0.8807903549878184,9.582892820570205,12.789706419877314,0.743731638851752,0.24909436859783157
Anode,thickness_after_um,PROCESS_PLUS_ULTRASOUND,TABULAR_PLUS_ULTRASOUND,0.9140842520449577,7.5395653178566056,10.857785704044181,0.8781797026906402,0.07946845550044436,0.9801929096262932,3.919593090481227,5.213330042124681,0.972372210368922,0.0147119537942511
Anode,density_after_g_cm3,PROCESS_ONLY,TABULAR_STATE_PROCESS,0.8029760847905157,0.05124551830916354,0.07229694476336299,0.6318056380359875,0.21260696913679636,0.9097505782904898,0.035768896764984646,0.048930841641758295,0.7616601508012103,0.31372151238057183
Anode,density_after_g_cm3,ULTRASOUND_ONLY,ULTRASOUND_ONLY,0.3992561586580903,0.10310136528026295,0.12624236900345231,-0.46301610288745093,1.3304476582279778,-0.6323944065901328,0.16229431470384803,0.20810045083528933,-2.6300715178299607,4.419434709740133
Anode,density_after_g_cm3,PROCESS_PLUS_ULTRASOUND,TABULAR_PLUS_ULTRASOUND,0.8346870673852174,0.052346875510176145,0.06622376793902125,0.6311462435978562,0.3846695892114154,0.8355489647802397,0.04338072641431296,0.06605090582767353,0.641498676523712,0.4581785005570368
