material,target,model,modality_group,fold,test_samples,ridge_mae,ridge_rmse,ridge_r2,stage_aware_mae,stage_aware_rmse,stage_aware_r2
Cathode,thickness_after_um,PROCESS_ONLY,TABULAR_STATE_PROCESS,1,4,2.0927359911266947,2.5871648966858185,0.829466950251125,7.178607940673828,8.576536473467083,-0.8740631307187567
Cathode,thickness_after_um,PROCESS_ONLY,TABULAR_STATE_PROCESS,2,4,1.6884932640441104,1.9073811195395305,0.9525980099651352,7.5,8.955393949951793,-0.04493916350271232
Cathode,thickness_after_um,PROCESS_ONLY,TABULAR_STATE_PROCESS,3,4,1.4935525494663722,1.5181027300466732,0.9359823361395788,6.357147216796875,8.741471314145477,-1.1225922426674515
Cathode,thickness_after_um,PROCESS_ONLY,TABULAR_STATE_PROCESS,4,3,6.344155900928752,6.932999468853557,0.6088622651753045,13.711140950520834,16.682592684068247,-1.2647197902013985
Cathode,thickness_after_um,PROCESS_ONLY,TABULAR_STATE_PROCESS,5,3,1.8522662969396275,2.3570685446751165,0.9373409158913887,11.844472249348959,13.399727667329934,-1.0250304687060976
Cathode,thickness_after_um,ULTRASOUND_ONLY,ULTRASOUND_ONLY,1,4,6.951823450667103,8.312989952839756,-0.7606573746755345,8.346612930297852,11.853147717662294,-2.5795442246298816
Cathode,thickness_after_um,ULTRASOUND_ONLY,ULTRASOUND_ONLY,2,4,4.619505603576478,5.679484332490243,0.5797193187882457,7.802928924560547,10.525042000876594,-0.4433421383741545
Cathode,thickness_after_um,ULTRASOUND_ONLY,ULTRASOUND_ONLY,3,4,5.619943089539095,6.214597523855871,-0.07281173287543119,7.9935407638549805,8.250834134942266,-0.8910073311757918
Cathode,thickness_after_um,ULTRASOUND_ONLY,ULTRASOUND_ONLY,4,3,14.543934353458551,14.751021938990124,-0.7706454197116741,13.662183125813803,16.571042780277704,-1.234534475074272
Cathode,thickness_after_um,ULTRASOUND_ONLY,ULTRASOUND_ONLY,5,3,7.889132018737942,8.668305806371722,0.15256174188596583,5.0906117757161455,5.304605118366544,0.6826447128368361
Cathode,thickness_after_um,PROCESS_PLUS_ULTRASOUND,TABULAR_PLUS_ULTRASOUND,1,4,5.203035959695097,7.180683326530822,-0.3136869563291147,7.178607940673828,8.576536473467083,-0.8740631307187567
Cathode,thickness_after_um,PROCESS_PLUS_ULTRASOUND,TABULAR_PLUS_ULTRASOUND,2,4,2.282546858765466,2.4571744088625236,0.9213328198622945,7.5,8.955370217887511,-0.044933625269402144
Cathode,thickness_after_um,PROCESS_PLUS_ULTRASOUND,TABULAR_PLUS_ULTRASOUND,3,4,0.9688663226723193,1.2786375610088603,0.9545857218771476,6.357139587402344,8.7414657657465,-1.1225895481588344
Cathode,thickness_after_um,PROCESS_PLUS_ULTRASOUND,TABULAR_PLUS_ULTRASOUND,4,3,8.014833916089982,8.325455492134823,0.43596846079234997,13.711095174153646,16.682490059476557,-1.2646919269989216
Cathode,thickness_after_um,PROCESS_PLUS_ULTRASOUND,TABULAR_PLUS_ULTRASOUND,5,3,2.8389764605415877,3.110876315187976,0.8908546829128099,11.844472249348959,13.399727667329934,-1.0250304687060976
