material,target,model,modality_group,ridge_r2_pooled,ridge_mae_pooled,ridge_rmse_pooled,ridge_r2_fold_mean,ridge_r2_fold_std,stage_aware_r2_pooled,stage_aware_mae_pooled,stage_aware_rmse_pooled,stage_aware_r2_fold_mean,stage_aware_r2_fold_std
Cathode,thickness_after_um,PROCESS_ONLY,TABULAR_STATE_PROCESS,0.8913020856563196,2.5382441006752137,3.42710928258009,0.8528500954845064,0.12967354967964212,-0.17960300865098988,8.933881123860678,11.289774917364863,-0.8662689591592834,0.42995657680368315
Cathode,thickness_after_um,ULTRASOUND_ONLY,ULTRASOUND_ONLY,0.2605800170847783,7.559127093984454,8.938464906366338,-0.17436669331768567,0.5263319120072524,-0.12374131021729773,8.490595287746853,11.01921155250596,-0.8931566912834527,1.0626315938157986
Cathode,thickness_after_um,PROCESS_PLUS_ULTRASOUND,TABULAR_PLUS_ULTRASOUND,0.7563366832152617,3.6877348719125687,5.1311229781023755,0.5778109458230974,0.48432441426105455,-0.17959665346645903,8.93387179904514,11.289744505141844,-0.8662617399704026,0.42995320724621255
Cathode,density_after_g_cm3,PROCESS_ONLY,TABULAR_STATE_PROCESS,0.7937461296730673,0.13716231933155626,0.16569599787175937,-5.538801085827982,12.156050238725065,-0.34405259843329494,0.36851763223190354,0.4229792841400736,-33.01166063667031,57.836730236404506
Cathode,density_after_g_cm3,ULTRASOUND_ONLY,ULTRASOUND_ONLY,-0.800796294872975,0.42176467623251873,0.48960208619350615,-36.31558874393973,63.38674186942405,-1.7381154250126176,0.54120458053335,0.6037217765619477,-43.406277440639656,68.76445987722077
Cathode,density_after_g_cm3,PROCESS_PLUS_ULTRASOUND,TABULAR_PLUS_ULTRASOUND,0.6582790092866926,0.16888469628260808,0.21327836062147545,-8.472712590938688,17.784716029414476,-0.06983154220497156,0.29102781883997825,0.37737112327016614,-30.859179860921774,58.84689850327215
Anode,thickness_after_um,PROCESS_ONLY,TABULAR_STATE_PROCESS,0.9440219981478442,6.933191217500161,8.764226127394293,0.9215745543792776,0.04416850161247485,0.9920453435829721,2.503334130181204,3.3038140160126135,0.9679159501535356,0.05452925112078536
Anode,thickness_after_um,ULTRASOUND_ONLY,ULTRASOUND_ONLY,0.8354072958599721,11.477044534602337,15.028310812726353,0.7100723718641815,0.252893790568071,0.50130830807894,15.376329464382595,26.158988370089382,-0.15847464868448177,1.5047335892216853
Anode,thickness_after_um,PROCESS_PLUS_ULTRASOUND,TABULAR_PLUS_ULTRASOUND,0.9140842520449577,7.5395653178566056,10.857785704044181,0.8781797026906402,0.07946845550044436,0.987538559810061,2.8900876786973755,4.135128376792029,0.9796158240013797,0.019703102547836165
Anode,density_after_g_cm3,PROCESS_ONLY,TABULAR_STATE_PROCESS,0.8029760847905157,0.05124551830916354,0.07229694476336299,0.6318056380359875,0.21260696913679636,0.8369834198804487,0.0424145165626438,0.06576220415752852,0.8138609526980508,0.12464340772298461
Anode,density_after_g_cm3,ULTRASOUND_ONLY,ULTRASOUND_ONLY,0.3992561586580903,0.10310136528026295,0.12624236900345231,-0.46301610288745093,1.3304476582279778,-0.0972452071458354,0.13783294605449084,0.17061307810171486,-2.0685431238689653,2.9452767576781294
Anode,density_after_g_cm3,PROCESS_PLUS_ULTRASOUND,TABULAR_PLUS_ULTRASOUND,0.8346870673852174,0.052346875510176145,0.06622376793902125,0.6311462435978562,0.3846695892114154,0.708941301394693,0.0605506533212858,0.08787205107975851,0.5384691783215765,0.3946690885834491
