policy,num_seeds,hit_at_1,hit_at_3,hit_at_5,top3_hit_at_5,mean_steps_to_best,median_steps_to_best,simple_regret_at_1,simple_regret_at_3,simple_regret_at_5,cumulative_regret_at_5,regret_auc,eps_optimal_1pct,eps_optimal_2_5pct,eps_optimal_5pct
AICOSCIENTIST_FULL_PROCESS_ENGINE,10,0.0,0.2,1.0,1.0,4.2,4.5,0.01633169855517024,0.009378333623954604,0.0,0.04466941782135323,0.036503568543768114,1.0,1.0,1.0
DIRECT_BOTORCH_BASELINE,10,0.0,0.3,0.9,0.9,3.5555555555555554,4.0,0.015085407829900855,0.010245755147995273,0.001707218528115062,0.0402582740087693,0.031861960829761345,0.9,1.0,1.0
RANDOM_BASELINE,10,0.0,0.0,0.3,0.6,4.666666666666667,5.0,0.020816673732549175,0.016523801334470213,0.012080026758740415,0.08231684821517951,0.06586849796953471,0.4,0.7,1.0
EXACT_ANALYTICAL_RANDOM,10,0.06666666666666667,0.2,0.3333333333333333,0.6764705882352942,8.0,8.0,,,,,,,,
