budget,initial_protocols,queries,seed,strategy,final_best_seen,final_simple_regret,regret_auc,hit_top_10_pct,hit_top_5_pct,queries_to_top_10_pct,queries_to_top_5_pct
8,5,3,0,random,686.5946031000001,163.1460657,163.1460657,0,0,4,4
8,5,3,0,greedy,849.7406688000001,0.0,122.359549275,1,1,3,3
8,5,3,0,gp_ucb,849.7406688000001,0.0,122.359549275,1,1,3,3
8,5,3,1,random,686.5946031000001,163.1460657,163.1460657,0,0,4,4
8,5,3,1,greedy,849.7406688000001,0.0,81.57303285,1,1,2,2
8,5,3,1,gp_ucb,849.7406688000001,0.0,81.57303285,1,1,2,2
8,5,3,2,random,709.44713095,140.29353785000012,145.7139049000001,1,0,0,4
8,5,3,2,greedy,698.60639685,151.13427195000008,151.13427195000008,1,0,0,4
8,5,3,2,gp_ucb,698.60639685,151.13427195000008,151.13427195000008,1,0,0,4
8,5,3,3,random,686.5946031000001,163.1460657,163.68982297500003,0,0,4,4
8,5,3,3,greedy,684.419574,165.32109480000008,165.32109480000008,0,0,4,4
8,5,3,3,gp_ucb,709.44713095,140.29353785000012,159.0642055625001,1,0,3,4
8,5,3,4,random,709.4786504,140.2620184000001,170.4685040625001,1,1,1,1
8,5,3,4,greedy,709.4786504,140.2620184000001,203.3930531125001,1,1,2,3
8,5,3,4,gp_ucb,709.4786504,140.2620184000001,203.3930531125001,1,1,2,3
8,5,3,5,random,748.4312318,101.30943700000012,101.30943700000012,1,1,0,0
8,5,3,5,greedy,748.4312318,101.30943700000012,101.30943700000012,1,1,0,0
8,5,3,5,gp_ucb,748.4312318,101.30943700000012,101.30943700000012,1,1,0,0
8,5,3,6,random,602.9841460499999,246.75652275000016,246.75652275000016,0,0,4,4
8,5,3,6,greedy,627.1302800999999,222.61038870000016,234.68345572500016,0,0,4,4
8,5,3,6,gp_ucb,627.1302800999999,222.61038870000016,234.68345572500016,0,0,4,4
8,5,3,7,random,849.7406688000001,0.0,0.0,1,1,0,0
8,5,3,7,greedy,849.7406688000001,0.0,0.0,1,1,0,0
8,5,3,7,gp_ucb,849.7406688000001,0.0,0.0,1,1,0,0
8,5,3,8,random,849.7406688000001,0.0,0.0,1,1,0,0
8,5,3,8,greedy,849.7406688000001,0.0,0.0,1,1,0,0
8,5,3,8,gp_ucb,849.7406688000001,0.0,0.0,1,1,0,0
8,5,3,9,random,602.9841460499999,246.75652275000016,246.75652275000016,0,0,4,4
8,5,3,9,greedy,698.60639685,151.13427195000008,175.0398346500001,1,0,1,4
8,5,3,9,gp_ucb,709.4786504,140.2620184000001,193.50927057500013,1,1,2,2
8,5,3,10,random,849.7406688000001,0.0,51.42136325000001,1,1,1,1
8,5,3,10,greedy,644.5142754,205.22639340000012,205.3411583000001,0,0,4,4
8,5,3,10,gp_ucb,849.7406688000001,0.0,137.79346620000007,1,1,2,2
8,5,3,11,random,748.4312318,101.30943700000012,101.30943700000012,1,1,0,0
8,5,3,11,greedy,849.7406688000001,0.0,50.65471850000006,1,1,0,0
8,5,3,11,gp_ucb,849.7406688000001,0.0,50.65471850000006,1,1,0,0
8,5,3,12,random,581.7011306500001,268.03953815,271.7123858625,0,0,4,4
