feature,max_abs_difference,median_abs_difference,p95_abs_difference,mean_abs_difference
average_current,0.011996472206812991,8.150575431399576e-05,0.00139292724520399,0.0006020834386333869
normalized_current_variance,0.011685136999274315,0.00020366326062160045,0.0026270037765002904,0.0008335346661720132
maximum_discharge_current,0.0012416582283008015,0.00014557107135132474,0.001126676350792588,0.0002683130268106734
relative_charge_fraction,0.003151857964550704,5.0478342977798574e-05,0.00040841064372741924,0.0001714541776915195
rest_fraction_at_high_soc,0.0029386944961244943,0.00016402816954920007,0.0007192834690098902,0.0002764271632231111
rest_soc,0.17207850505075228,0.00019359544188968236,0.02005351605739247,0.007490779403399776
peak_frequency_1,0.005257111392548627,1.8798263929980727e-07,7.876479288819972e-06,0.00011797687413794663
peak_frequency_2,0.0289425904297483,5.296756483999477e-07,5.142949579249981e-05,0.0006504483133978359
