step,strategy,best_seen,simple_regret,hit_top_10_pct,hit_top_5_pct,queried_protocol_id,seed
5,gp_ucb,849.7406688000001,0.0,1,1,Synthetic_2c_Co2,1
6,gp_ucb,849.7406688000001,0.0,1,1,CC_(no_storage)_Co2,1
7,gp_ucb,849.7406688000001,0.0,1,1,Synthetic_2c_Co5,1
8,gp_ucb,849.7406688000001,0.0,1,1,Periodic_D_Co5,1
9,gp_ucb,849.7406688000001,0.0,1,1,Synthetic_1b_Co10,1
10,gp_ucb,849.7406688000001,0.0,1,1,Synthetic_1a_Co5,1
11,gp_ucb,849.7406688000001,0.0,1,1,CC_(5%_storage)_Co2,1
12,gp_ucb,849.7406688000001,0.0,1,1,Periodic_A_Co2,1
13,gp_ucb,849.7406688000001,0.0,1,1,Synthetic_1b_Co16,1
14,gp_ucb,849.7406688000001,0.0,1,1,Periodic_B_Co2,1
15,gp_ucb,849.7406688000001,0.0,1,1,Periodic_E_Co2,1
0,random,698.60639685,151.13427195000008,1,0,,2
1,random,698.60639685,151.13427195000008,1,0,Synthetic_2a_Co5,2
2,random,709.44713095,140.29353785000012,1,0,Synthetic_2b_Co2,2
3,random,709.44713095,140.29353785000012,1,0,CC_(5%_storage)_Co5,2
4,random,709.44713095,140.29353785000012,1,0,Synthetic_2c_Co5,2
5,random,709.44713095,140.29353785000012,1,0,Synthetic_2b_Co5,2
6,random,709.44713095,140.29353785000012,1,0,Periodic_D_Co5,2
7,random,709.44713095,140.29353785000012,1,0,Drive_City1_Co10,2
8,random,709.44713095,140.29353785000012,1,0,CC_(50%_storage)_Co10,2
9,random,709.44713095,140.29353785000012,1,0,Periodic_C_Co5,2
10,random,709.44713095,140.29353785000012,1,0,Periodic_E_Co2,2
11,random,709.44713095,140.29353785000012,1,0,CC_(5%_storage)_Co10,2
12,random,709.44713095,140.29353785000012,1,0,CC_(50%_storage)_Co2,2
13,random,709.44713095,140.29353785000012,1,0,CC_(no_storage)_Co5,2
14,random,709.44713095,140.29353785000012,1,0,Drive_City2_Co16,2
15,random,709.44713095,140.29353785000012,1,0,Periodic_C_Co10,2
0,greedy,698.60639685,151.13427195000008,1,0,,2
1,greedy,698.60639685,151.13427195000008,1,0,Synthetic_1b_Co16,2
2,greedy,698.60639685,151.13427195000008,1,0,Synthetic_1a_Co10,2
3,greedy,698.60639685,151.13427195000008,1,0,CC_(100%_storage)_Co10,2
4,greedy,709.4786504,140.2620184000001,1,1,Synthetic_1a_Co5,2
