policy_id,C1,C2,C3,C4,reference_true_lifetime,reference_mean_lifetime,reference_std_lifetime
ATTIA_P196,8.0,4.8,4.4,3.667,714,699.82,177.95730856997525
ATTIA_P197,8.0,4.8,4.8,3.429,688,663.1,141.4814114854611
ATTIA_P198,8.0,4.8,5.2,3.25,670,667.7,178.95812416339646
ATTIA_P199,8.0,4.8,5.6,3.111,635,648.96,181.19286826529373
ATTIA_P200,8.0,5.2,3.6,4.197,774,770.68,150.29310682524223
ATTIA_P201,8.0,5.2,4.0,3.759,745,758.82,158.26182001186953
ATTIA_P202,8.0,5.2,4.4,3.463,692,674.38,158.43686568524154
ATTIA_P203,8.0,5.2,4.8,3.25,669,607.06,154.8014409572759
ATTIA_P204,8.0,5.2,5.2,3.089,662,671.46,161.26998657973706
ATTIA_P205,8.0,5.2,5.6,2.963,622,593.62,169.99374418261542
ATTIA_P206,8.0,5.6,3.6,3.969,703,726.3,158.3115309013419
ATTIA_P207,8.0,5.6,4.0,3.574,682,677.98,165.1881413443965
ATTIA_P208,8.0,5.6,4.4,3.306,653,707.06,182.18004214266182
ATTIA_P209,8.0,5.6,4.8,3.111,634,624.32,148.23966254353255
ATTIA_P210,8.0,5.6,5.2,2.963,621,634.58,178.24909078967818
ATTIA_P211,8.0,5.6,5.6,2.847,596,608.86,176.0649242496086
ATTIA_P212,8.0,6.0,3.6,3.789,711,696.82,177.95730856997525
ATTIA_P213,8.0,6.0,4.0,3.429,687,662.1,141.4814114854611
ATTIA_P214,8.0,6.0,4.4,3.181,646,643.7,178.95812416339646
ATTIA_P215,8.0,6.0,4.8,3.0,635,648.96,181.19286826529373
ATTIA_P216,8.0,6.0,5.2,2.862,622,637.38,178.54558555855976
ATTIA_P217,8.0,6.0,5.6,2.754,592,608.16,151.51754259585164
ATTIA_P218,8.0,7.0,3.6,3.476,605,543.06,154.8014409572759
ATTIA_P219,8.0,7.0,4.0,3.17,592,601.46,161.26998657973706
ATTIA_P220,8.0,7.0,4.4,2.957,573,544.62,169.99374418261542
ATTIA_P221,8.0,7.0,4.8,2.8,567,489.78,182.62197936431087
ATTIA_P222,8.0,7.0,5.2,2.68,560,544.6,150.48506604324834
ATTIA_P223,8.0,7.0,5.6,2.585,548,534.9,159.67303965239947
