budget,queries,strategy,mean_best_seen,std_best_seen,median_best_seen,mean_simple_regret,std_simple_regret,median_simple_regret,mean_regret_auc,top_10_pct_hit_rate,top_5_pct_hit_rate,mean_queries_to_top_5_pct
10,5,random,992.7133333333334,58.899510292053186,999.99,94.2266666666667,58.899510292053186,86.9500000000001,122.08333333333336,0.6,0.36666666666666664,4.6
10,5,greedy,1000.706,47.4637755593129,1005.38,86.23400000000002,47.4637755593129,81.56000000000006,112.04077777777782,0.6,0.4,4.533333333333333
10,5,gp_ucb,1004.034,47.78691067357398,1005.38,82.90600000000003,47.78691067357398,81.56000000000006,110.16488888888895,0.6666666666666666,0.4,4.433333333333334
15,10,random,1019.3059999999999,49.77958982111667,1014.82,67.63400000000004,49.77958982111668,72.12,102.4596363636364,0.8,0.5333333333333333,7.3
15,10,greedy,1028.766,44.330225121358744,1033.8,58.17400000000001,44.330225121358744,53.1400000000001,92.90606060606065,0.8333333333333334,0.6333333333333333,6.933333333333334
15,10,gp_ucb,1026.8280000000002,46.28820914884153,1026.3,60.11200000000004,46.28820914884154,60.6400000000001,91.31236363636368,0.8333333333333334,0.5666666666666667,6.8
20,15,random,1033.8246666666664,41.09420151506683,1044.25,53.11533333333337,41.094201515066835,42.690000000000055,89.4422083333334,0.8666666666666667,0.6666666666666666,9.433333333333334
20,15,greedy,1047.8746666666666,34.069576248423274,1051.88,39.065333333333356,34.069576248423274,35.059999999999945,78.88658333333338,0.9333333333333333,0.8333333333333334,8.366666666666667
20,15,gp_ucb,1039.2646666666667,39.27850572455658,1050.85,47.675333333333356,39.27850572455658,36.09000000000003,79.12283333333336,0.9333333333333333,0.7666666666666667,8.5
30,25,random,1045.813333333333,29.10928010971327,1053.13,41.1266666666667,29.10928010971327,33.809999999999945,72.38253846153852,0.9666666666666667,0.8333333333333334,11.666666666666666
30,25,greedy,1062.1833333333334,18.442862432731086,1054.38,24.756666666666657,18.442862432731083,32.559999999999945,60.539794871794896,1.0,0.9666666666666667,9.033333333333333
30,25,gp_ucb,1059.444,23.65463308121471,1054.38,27.496000000000006,23.65463308121471,32.559999999999945,62.19015384615387,1.0,0.9333333333333333,9.766666666666667
