step,strategy,seed,best_simulated_lifetime,best_reference_mean,simple_regret,hit_top_10_pct,hit_top_5_pct,queried_policy_id,budget
17,gp_ucb,0,1031.0,1051.88,35.059999999999945,1,1,ATTIA_P029,30
18,gp_ucb,0,1151.0,1051.88,35.059999999999945,1,1,ATTIA_P014,30
19,gp_ucb,0,1151.0,1051.88,35.059999999999945,1,1,ATTIA_P017,30
20,gp_ucb,0,1151.0,1051.88,35.059999999999945,1,1,ATTIA_P004,30
21,gp_ucb,0,1151.0,1051.88,35.059999999999945,1,1,ATTIA_P007,30
22,gp_ucb,0,1385.0,1051.88,35.059999999999945,1,1,ATTIA_P107,30
23,gp_ucb,0,1385.0,1051.88,35.059999999999945,1,1,ATTIA_P074,30
24,gp_ucb,0,1385.0,1051.88,35.059999999999945,1,1,ATTIA_P141,30
25,gp_ucb,0,1385.0,1051.88,35.059999999999945,1,1,ATTIA_P150,30
0,random,1,875.0,953.3,133.6400000000001,0,0,,30
1,random,1,875.0,953.3,133.6400000000001,0,0,ATTIA_P201,30
2,random,1,1128.0,961.82,125.12,0,0,ATTIA_P004,30
3,random,1,1128.0,1037.68,49.25999999999999,1,1,ATTIA_P074,30
4,random,1,1128.0,1037.68,49.25999999999999,1,1,ATTIA_P214,30
5,random,1,1128.0,1037.68,49.25999999999999,1,1,ATTIA_P029,30
6,random,1,1128.0,1037.68,49.25999999999999,1,1,ATTIA_P222,30
7,random,1,1128.0,1037.68,49.25999999999999,1,1,ATTIA_P207,30
8,random,1,1128.0,1037.68,49.25999999999999,1,1,ATTIA_P063,30
9,random,1,1237.0,1037.68,49.25999999999999,1,1,ATTIA_P055,30
10,random,1,1237.0,1037.68,49.25999999999999,1,1,ATTIA_P101,30
11,random,1,1237.0,1037.68,49.25999999999999,1,1,ATTIA_P114,30
12,random,1,1237.0,1037.68,49.25999999999999,1,1,ATTIA_P198,30
13,random,1,1237.0,1037.68,49.25999999999999,1,1,ATTIA_P137,30
14,random,1,1237.0,1037.68,49.25999999999999,1,1,ATTIA_P142,30
15,random,1,1237.0,1057.26,29.680000000000064,1,1,ATTIA_P106,30
16,random,1,1237.0,1057.26,29.680000000000064,1,1,ATTIA_P073,30
17,random,1,1237.0,1057.26,29.680000000000064,1,1,ATTIA_P030,30
18,random,1,1237.0,1057.26,29.680000000000064,1,1,ATTIA_P172,30
19,random,1,1237.0,1057.26,29.680000000000064,1,1,ATTIA_P084,30
20,random,1,1237.0,1057.26,29.680000000000064,1,1,ATTIA_P151,30
21,random,1,1237.0,1057.26,29.680000000000064,1,1,ATTIA_P028,30
22,random,1,1237.0,1057.26,29.680000000000064,1,1,ATTIA_P092,30
23,random,1,1237.0,1057.26,29.680000000000064,1,1,ATTIA_P086,30
24,random,1,1237.0,1057.26,29.680000000000064,1,1,ATTIA_P118,30
25,random,1,1237.0,1057.26,29.680000000000064,1,1,ATTIA_P070,30
0,greedy,1,875.0,953.3,133.6400000000001,0,0,,30
1,greedy,1,1077.0,953.3,133.6400000000001,0,0,ATTIA_P031,30
2,greedy,1,1077.0,976.68,110.2600000000001,0,0,ATTIA_P051,30
3,greedy,1,1077.0,976.68,110.2600000000001,0,0,ATTIA_P035,30
4,greedy,1,1077.0,1026.3,60.6400000000001,1,1,ATTIA_P055,30
5,greedy,1,1077.0,1026.3,60.6400000000001,1,1,ATTIA_P034,30
6,greedy,1,1077.0,1026.3,60.6400000000001,1,1,ATTIA_P019,30
7,greedy,1,1077.0,1026.3,60.6400000000001,1,1,ATTIA_P038,30
8,greedy,1,1077.0,1026.3,60.6400000000001,1,1,ATTIA_P058,30
9,greedy,1,1077.0,1026.3,60.6400000000001,1,1,ATTIA_P006,30
10,greedy,1,1249.0,1026.3,60.6400000000001,1,1,ATTIA_P004,30
11,greedy,1,1249.0,1026.3,60.6400000000001,1,1,ATTIA_P000,30
12,greedy,1,1249.0,1049.82,37.12000000000012,1,1,ATTIA_P014,30
13,greedy,1,1249.0,1049.82,37.12000000000012,1,1,ATTIA_P003,30
14,greedy,1,1249.0,1049.82,37.12000000000012,1,1,ATTIA_P007,30
15,greedy,1,1249.0,1049.82,37.12000000000012,1,1,ATTIA_P020,30
16,greedy,1,1249.0,1049.82,37.12000000000012,1,1,ATTIA_P017,30
17,greedy,1,1249.0,1049.82,37.12000000000012,1,1,ATTIA_P005,30
18,greedy,1,1249.0,1049.82,37.12000000000012,1,1,ATTIA_P013,30
19,greedy,1,1249.0,1049.82,37.12000000000012,1,1,ATTIA_P008,30
20,greedy,1,1249.0,1049.82,37.12000000000012,1,1,ATTIA_P039,30
21,greedy,1,1249.0,1049.82,37.12000000000012,1,1,ATTIA_P009,30
22,greedy,1,1249.0,1049.82,37.12000000000012,1,1,ATTIA_P023,30
23,greedy,1,1249.0,1054.38,32.559999999999945,1,1,ATTIA_P054,30
24,greedy,1,1249.0,1054.38,32.559999999999945,1,1,ATTIA_P029,30
25,greedy,1,1249.0,1054.38,32.559999999999945,1,1,ATTIA_P028,30
0,gp_ucb,1,875.0,953.3,133.6400000000001,0,0,,30
1,gp_ucb,1,1077.0,953.3,133.6400000000001,0,0,ATTIA_P031,30
2,gp_ucb,1,1077.0,976.68,110.2600000000001,0,0,ATTIA_P051,30
3,gp_ucb,1,1077.0,976.68,110.2600000000001,0,0,ATTIA_P035,30
4,gp_ucb,1,1077.0,1026.3,60.6400000000001,1,1,ATTIA_P055,30
5,gp_ucb,1,1077.0,1026.3,60.6400000000001,1,1,ATTIA_P034,30
6,gp_ucb,1,1077.0,1026.3,60.6400000000001,1,1,ATTIA_P038,30
7,gp_ucb,1,1077.0,1026.3,60.6400000000001,1,1,ATTIA_P058,30
8,gp_ucb,1,1289.0,1065.68,21.25999999999999,1,1,ATTIA_P083,30
9,gp_ucb,1,1289.0,1086.94,0.0,1,1,ATTIA_P113,30
10,gp_ucb,1,1289.0,1086.94,0.0,1,1,ATTIA_P123,30
11,gp_ucb,1,1289.0,1086.94,0.0,1,1,ATTIA_P118,30
12,gp_ucb,1,1289.0,1086.94,0.0,1,1,ATTIA_P093,30
13,gp_ucb,1,1289.0,1086.94,0.0,1,1,ATTIA_P054,30
14,gp_ucb,1,1289.0,1086.94,0.0,1,1,ATTIA_P079,30
15,gp_ucb,1,1289.0,1086.94,0.0,1,1,ATTIA_P109,30
16,gp_ucb,1,1289.0,1086.94,0.0,1,1,ATTIA_P147,30
17,gp_ucb,1,1289.0,1086.94,0.0,1,1,ATTIA_P084,30
18,gp_ucb,1,1289.0,1086.94,0.0,1,1,ATTIA_P088,30
19,gp_ucb,1,1289.0,1086.94,0.0,1,1,ATTIA_P019,30
20,gp_ucb,1,1289.0,1086.94,0.0,1,1,ATTIA_P059,30
21,gp_ucb,1,1289.0,1086.94,0.0,1,1,ATTIA_P114,30
22,gp_ucb,1,1325.0,1086.94,0.0,1,1,ATTIA_P003,30
23,gp_ucb,1,1325.0,1086.94,0.0,1,1,ATTIA_P013,30
